game_id,Team,Date,SeasonEnd,Type,Place,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3PP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,TF,PTS,OppPTS,has_lines,favorite,ML,Spread,Total
90,Indiana,2012-02-22,2012,REG,H,26,51,0.51,22,41,0.537,4,10,0.4,19,25,0.76,15,19,34,13,7,2,16,15,75,56,False,,,,
91,Indiana,2012-02-26,2012,REG,A,21,48,0.438,15,36,0.417,6,12,0.5,21,25,0.84,8,29,37,11,5,5,13,18,69,50,True,0.0,105.0,2.0,137.0
92,Indiana,2012-02-28,2012,REG,H,23,48,0.479,18,37,0.486,5,11,0.455,19,22,0.864,9,21,30,8,10,2,9,16,70,55,True,0.0,120.0,3.0,137.0
93,Indiana,2012-03-04,2012,REG,H,28,53,0.528,18,35,0.514,10,18,0.556,19,25,0.76,6,28,34,16,6,5,11,14,85,74,True,1.0,-260.0,-6.0,147.0
94,Indiana,2012-03-08,2012,CTOURN,N,19,52,0.365,11,34,0.324,8,18,0.444,29,36,0.806,11,27,38,11,4,2,10,16,75,58,True,1.0,-905.0,-12.0,134.0
95,Indiana,2012-03-09,2012,CTOURN,N,25,51,0.49,22,45,0.489,3,6,0.5,18,22,0.818,7,19,26,8,1,0,10,16,71,79,True,1.0,-125.0,-1.0,123.0
96,Indiana,2012-03-15,2012,NCAA,N,32,54,0.593,25,41,0.61,7,13,0.538,8,10,0.8,7,14,21,15,12,0,12,12,79,66,True,1.0,-285.0,-6.0,156.0
97,Indiana,2012-03-17,2012,NCAA,N,24,46,0.522,18,33,0.545,6,13,0.462,9,11,0.818,7,26,33,13,6,2,22,13,63,61,True,1.0,-250.0,-6.0,141.0
98,Indiana,2012-03-23,2012,NCAA,N,36,69,0.522,31,51,0.608,5,18,0.278,13,17,0.765,9,19,28,16,3,2,8,27,90,102,True,0.0,440.0,10.0,145.0
99,Indiana,2012-11-09,2013,REG,H,30,54,0.556,22,33,0.667,8,21,0.381,29,34,0.853,11,35,46,16,12,6,17,16,97,54,True,1.0,,-32.0,149.0
100,Indiana,2012-11-12,2013,REG,H,28,58,0.483,19,34,0.559,9,24,0.375,22,30,0.733,12,27,39,16,8,4,10,15,87,61,True,1.0,-3200.0,-21.0,
101,Indiana,2012-11-15,2013,REG,H,30,53,0.566,21,32,0.656,9,21,0.429,30,44,0.682,16,25,41,24,11,3,9,12,99,45,True,1.0,,-30.0,
102,Indiana,2012-11-19,2013,REG,N,22,49,0.449,17,33,0.515,5,16,0.313,17,24,0.708,8,27,35,11,4,0,12,17,66,53,True,1.0,-13990.0,-21.0,137.0
103,Indiana,2012-11-20,2013,REG,N,23,49,0.469,13,32,0.406,10,17,0.588,26,36,0.722,8,22,30,12,8,2,13,17,82,72,True,1.0,-450.0,-10.0,139.0
104,Indiana,2012-11-25,2013,REG,H,38,63,0.603,31,46,0.674,7,17,0.412,18,24,0.75,9,32,41,15,9,4,11,20,101,53,True,1.0,-40500.0,-28.0,138.0
105,Indiana,2012-11-27,2013,REG,H,33,74,0.446,25,54,0.463,8,20,0.4,9,12,0.75,13,31,44,21,6,6,10,16,83,59,True,1.0,-720.0,-11.0,150.0
106,Indiana,2012-12-01,2013,REG,H,31,60,0.517,23,36,0.639,8,24,0.333,17,20,0.85,12,25,37,21,11,1,14,15,87,51,False,,,,
107,Indiana,2012-12-08,2013,REG,H,39,72,0.542,32,51,0.627,7,21,0.333,15,20,0.75,19,33,52,20,9,5,14,16,100,69,False,,,,
108,Indiana,2012-12-15,2013,REG,N,27,63,0.429,22,51,0.431,5,12,0.417,27,38,0.711,12,19,31,14,13,4,13,18,86,88,True,1.0,-735.0,-11.0,143.0
109,Indiana,2012-12-19,2013,REG,H,36,51,0.706,27,39,0.692,9,12,0.75,12,19,0.632,9,31,40,27,8,3,19,16,93,54,True,1.0,-60000.0,-31.0,147.0
