G,Date,season_end,Type,TEAM,Opponent,Conf,Tm,Opp,Won,OT,W,L,Streak,Arena
21,2016-01-25,2016,REG,Penn State,Ohio State,Big Ten,46,66,False,,11,10,L 2,Value City Arena
22,2016-01-30,2016,REG,Penn State,Michigan,Big Ten,72,79,False,,11,11,L 3,Madison Square Garden (IV)
23,2016-02-03,2016,REG,Penn State,Iowa,Big Ten,49,73,False,,11,12,L 4,Carver-Hawkeye Arena
24,2016-02-06,2016,REG,Penn State,Indiana,Big Ten,68,63,True,,12,12,W 1,Bryce Jordan Center
25,2016-02-13,2016,REG,Penn State,Nebraska,Big Ten,54,70,False,,12,13,L 1,Pinnacle Bank Arena
26,2016-02-17,2016,REG,Penn State,Iowa,Big Ten,79,75,True,,13,13,W 1,Bryce Jordan Center
27,2016-02-20,2016,REG,Penn State,Rutgers,Big Ten,70,58,True,,14,13,W 2,Louis Brown Athletic Center
28,2016-02-25,2016,REG,Penn State,Nebraska,Big Ten,56,55,True,,15,13,W 3,Bryce Jordan Center
29,2016-02-28,2016,REG,Penn State,Michigan State,Big Ten,57,88,False,,15,14,L 1,Breslin Events Center
30,2016-03-03,2016,REG,Penn State,Northwestern,Big Ten,61,71,False,,15,15,L 2,Bryce Jordan Center
31,2016-03-06,2016,REG,Penn State,Illinois,Big Ten,86,79,True,2OT,16,15,W 1,Bryce Jordan Center
32,2016-03-10,2016,CTOURN,Penn State,Ohio State,Big Ten,75,79,False,,16,16,L 1,Bankers Life Fieldhouse
1,2016-11-11,2017,REG,Penn State,Albany (NY),AEC,81,87,False,,0,1,L 1,Bryce Jordan Center
2,2016-11-13,2017,REG,Penn State,Duquesne,A-10,82,74,True,,1,1,W 1,Bryce Jordan Center
3,2016-11-15,2017,REG,Penn State,Grand Canyon,WAC,85,76,True,,2,1,W 2,Bryce Jordan Center
4,2016-11-19,2017,REG,Penn State,Duke,ACC,68,78,False,,2,2,L 1,Mohegan Sun Arena
5,2016-11-20,2017,REG,Penn State,Cincinnati,AAC,50,71,False,,2,3,L 2,Mohegan Sun Arena
6,2016-11-23,2017,REG,Penn State,Colgate,Patriot,72,59,True,,3,3,W 1,Bryce Jordan Center
7,2016-11-26,2017,REG,Penn State,George Washington,A-10,74,68,True,,4,3,W 2,Charles E. Smith Center
8,2016-11-29,2017,REG,Penn State,Georgia Tech,ACC,67,60,True,,5,3,W 3,Bryce Jordan Center
9,2016-12-03,2017,REG,Penn State,Wright State,Horizon,72,50,True,,6,3,W 4,Bryce Jordan Center
10,2016-12-07,2017,REG,Penn State,George Mason,A-10,66,85,False,,6,4,L 1,Bryce Jordan Center
11,2016-12-10,2017,REG,Penn State,Pittsburgh,ACC,73,81,False,,6,5,L 2,Prudential Center
12,2016-12-18,2017,REG,Penn State,St. John's (NY),Big East,92,76,True,,7,5,W 1,Madison Square Garden (IV)
13,2016-12-21,2017,REG,Penn State,Morgan State,MEAC,96,55,True,,8,5,W 2,Bryce Jordan Center
14,2016-12-27,2017,REG,Penn State,Northwestern,Big Ten,77,87,False,,8,6,L 1,Bryce Jordan Center
15,2017-01-01,2017,REG,Penn State,Rutgers,Big Ten,60,47,True,,9,6,W 1,Louis Brown Athletic Center
16,2017-01-04,2017,REG,Penn State,Michigan,Big Ten,69,72,False,,9,7,L 1,Crisler Arena
17,2017-01-07,2017,REG,Penn State,Michigan State,Big Ten,72,63,True,,10,7,W 1,The Palestra
18,2017-01-14,2017,REG,Penn State,Minnesota,Big Ten,52,50,True,,11,7,W 2,Bryce Jordan Center
19,2017-01-18,2017,REG,Penn State,Indiana,Big Ten,75,78,False,,11,8,L 1,Bryce Jordan Center
20,2017-01-21,2017,REG,Penn State,Purdue,Big Ten,52,77,False,,11,9,L 2,Mackey Arena
21,2017-01-24,2017,REG,Penn State,Wisconsin,Big Ten,55,82,False,,11,10,L 3,Kohl Center
22,2017-01-28,2017,REG,Penn State,Illinois,Big Ten,71,67,True,,12,10,W 1,Bryce Jordan Center
23,2017-02-01,2017,REG,Penn State,Indiana,Big Ten,102,110,False,3OT,12,11,L 1,Assembly Hall
24,2017-02-04,2017,REG,Penn State,Rutgers,Big Ten,68,70,False,,12,12,L 2,Bryce Jordan Center
25,2017-02-07,2017,REG,Penn State,Maryland,Big Ten,70,64,True,,13,12,W 1,Bryce Jordan Center
26,2017-02-11,2017,REG,Penn State,Illinois,Big Ten,83,70,True,,14,12,W 2,State Farm Center
27,2017-02-14,2017,REG,Penn State,Nebraska,Big Ten,66,82,False,,14,13,L 1,Pinnacle Bank Arena
28,2017-02-21,2017,REG,Penn State,Purdue,Big Ten,70,74,False,OT,14,14,L 2,Bryce Jordan Center
29,2017-02-25,2017,REG,Penn State,Minnesota,Big Ten,71,81,False,,14,15,L 3,Williams Arena
30,2017-02-28,2017,REG,Penn State,Ohio State,Big Ten,70,71,False,,14,16,L 4,Bryce Jordan Center
31,2017-03-05,2017,REG,Penn State,Iowa,Big Ten,79,90,False,,14,17,L 5,Carver-Hawkeye Arena
32,2017-03-08,2017,CTOURN,Penn State,Nebraska,Big Ten,76,67,True,OT,15,17,W 1,Verizon Center
33,2017-03-09,2017,CTOURN,Penn State,Michigan State,Big Ten,51,78,False,,15,18,L 1,Verizon Center
1,2017-11-10,2018,REG,Penn State,Campbell,Big South,86,75,True,,1,0,W 1,Bryce Jordan Center
2,2017-11-12,2018,REG,Penn State,Fairleigh Dickinson,NEC,81,57,True,,2,0,W 2,Bryce Jordan Center
3,2017-11-15,2018,REG,Penn State,Montana,Big Sky,70,57,True,,3,0,W 3,Bryce Jordan Center
4,2017-11-17,2018,REG,Penn State,Columbia,Ivy,79,65,True,,4,0,W 4,Bryce Jordan Center
5,2017-11-20,2018,REG,Penn State,Pittsburgh,ACC,85,54,True,,5,0,W 5,Barclays Center
6,2017-11-21,2018,REG,Penn State,Texas A&M,SEC,87,98,False,,5,1,L 1,Barclays Center
7,2017-11-24,2018,REG,Penn State,Oral Roberts,Summit,86,48,True,,6,1,W 1,Bryce Jordan Center
8,2017-11-29,2018,REG,Penn State,North Carolina State,ACC,78,85,False,,6,2,L 1,PNC Arena
9,2017-12-02,2018,REG,Penn State,Iowa,Big Ten,77,73,True,,7,2,W 1,Carver-Hawkeye Arena
10,2017-12-04,2018,REG,Penn State,Wisconsin,Big Ten,63,64,False,,7,3,L 1,Bryce Jordan Center
11,2017-12-09,2018,REG,Penn State,George Washington,A-10,74,54,True,,8,3,W 1,Bryce Jordan Center
12,2017-12-17,2018,REG,Penn State,George Mason,A-10,72,54,True,,9,3,W 2,EagleBank Arena
13,2017-12-19,2018,REG,Penn State,Binghamton,AEC,80,65,True,,10,3,W 3,Bryce Jordan Center
14,2017-12-22,2018,REG,Penn State,Rider,MAAC,70,71,False,,10,4,L 1,Bryce Jordan Center
15,2017-12-30,2018,REG,Penn State,Coppin State,MEAC,88,43,True,,11,4,W 1,Bryce Jordan Center
16,2018-01-02,2018,REG,Penn State,Maryland,Big Ten,69,75,False,,11,5,L 1,Xfinity Center
17,2018-01-05,2018,REG,Penn State,Northwestern,Big Ten,78,63,True,,12,5,W 1,Bryce Jordan Center
18,2018-01-09,2018,REG,Penn State,Indiana,Big Ten,70,74,False,,12,6,L 1,Assembly Hall
19,2018-01-12,2018,REG,Penn State,Nebraska,Big Ten,76,74,True,OT,13,6,W 1,Bryce Jordan Center
20,2018-01-15,2018,REG,Penn State,Minnesota,Big Ten,84,95,False,OT,13,7,L 1,Bryce Jordan Center
21,2018-01-20,2018,REG,Penn State,Northwestern,Big Ten,61,70,False,,13,8,L 2,Allstate Arena
22,2018-01-25,2018,REG,Penn State,Ohio State,Big Ten,82,79,True,,14,8,W 1,Value City Arena
23,2018-01-27,2018,REG,Penn State,Rutgers,Big Ten,60,43,True,,15,8,W 2,Bryce Jordan Center
24,2018-01-31,2018,REG,Penn State,Michigan State,Big Ten,68,76,False,,15,9,L 1,Breslin Events Center
25,2018-02-03,2018,REG,Penn State,Iowa,Big Ten,82,58,True,,16,9,W 1,Bryce Jordan Center
26,2018-02-07,2018,REG,Penn State,Maryland,Big Ten,74,70,True,,17,9,W 2,Bryce Jordan Center
27,2018-02-11,2018,REG,Penn State,Illinois,Big Ten,74,52,True,,18,9,W 3,State Farm Center
28,2018-02-15,2018,REG,Penn State,Ohio State,Big Ten,79,56,True,,19,9,W 4,Bryce Jordan Center
29,2018-02-18,2018,REG,Penn State,Purdue,Big Ten,73,76,False,,19,10,L 1,Mackey Arena
30,2018-02-21,2018,REG,Penn State,Michigan,Big Ten,63,72,False,,19,11,L 2,Bryce Jordan Center
31,2018-02-25,2018,REG,Penn State,Nebraska,Big Ten,64,76,False,,19,12,L 3,Pinnacle Bank Arena
32,2018-03-01,2018,CTOURN,Penn State,Northwestern,Big Ten,65,57,True,,20,12,W 1,Madison Square Garden (IV)
33,2018-03-02,2018,CTOURN,Penn State,Ohio State,Big Ten,69,68,True,,21,12,W 2,Madison Square Garden (IV)
34,2018-03-03,2018,CTOURN,Penn State,Purdue,Big Ten,70,78,False,,21,13,L 1,Madison Square Garden (IV)
35,2018-03-14,2018,NIT,Penn State,Temple,AAC,63,57,True,,22,13,W 1,Bryce Jordan Center
36,2018-03-17,2018,NIT,Penn State,Notre Dame,ACC,73,63,True,,23,13,W 2,Purcell Pavilion at the Joyce Center
37,2018-03-20,2018,NIT,Penn State,Marquette,Big East,85,80,True,,24,13,W 3,Al McGuire Center
38,2018-03-27,2018,NIT,Penn State,Mississippi State,SEC,75,60,True,,25,13,W 4,Madison Square Garden (IV)
39,2018-03-29,2018,NIT,Penn State,Utah,Pac-12,82,66,True,,26,13,W 5,Madison Square Garden (IV)
1,2018-11-09,2019,REG,Penn State,North Florida,A-Sun,87,72,True,,1,0,W 1,Bryce Jordan Center
2,2018-11-12,2019,REG,Penn State,Jacksonville State,OVC,76,61,True,,2,0,W 2,Bryce Jordan Center
3,2018-11-15,2019,REG,Penn State,DePaul,Big East,70,72,False,OT,2,1,L 1,Wintrust Arena
4,2018-11-20,2019,REG,Penn State,Wright State,Horizon,77,59,True,,3,1,W 1,Hard Rock Hotel Riviera Maya
5,2018-11-21,2019,REG,Penn State,Bradley,MVC,56,59,False,,3,2,L 1,Hard Rock Hotel Riviera Maya
6,2018-11-27,2019,REG,Penn State,Virginia Tech,ACC,63,62,True,,4,2,W 1,Bryce Jordan Center
7,2018-12-01,2019,REG,Penn State,Maryland,Big Ten,59,66,False,,4,3,L 1,Xfinity Center
8,2018-12-04,2019,REG,Penn State,Indiana,Big Ten,62,64,False,,4,4,L 2,Bryce Jordan Center
9,2018-12-08,2019,REG,Penn State,Colgate,Patriot,76,65,True,,5,4,W 1,Bryce Jordan Center
10,2018-12-15,2019,REG,Penn State,North Carolina State,ACC,78,89,False,,5,5,L 1,Boardwalk Hall
11,2018-12-19,2019,REG,Penn State,Duquesne,A-10,73,67,True,,6,5,W 1,CONSOL Energy Center
12,2018-12-21,2019,REG,Penn State,Alabama,SEC,64,73,False,,6,6,L 1,Coleman Coliseum
13,2018-12-29,2019,REG,Penn State,Maryland-Baltimore County,AEC,74,52,True,,7,6,W 1,Bryce Jordan Center
14,2019-01-03,2019,REG,Penn State,Michigan,Big Ten,55,68,False,,7,7,L 1,Crisler Arena
15,2019-01-06,2019,REG,Penn State,Wisconsin,Big Ten,52,71,False,,7,8,L 2,Bryce Jordan Center
16,2019-01-10,2019,REG,Penn State,Nebraska,Big Ten,64,70,False,,7,9,L 3,Pinnacle Bank Arena
17,2019-01-13,2019,REG,Penn State,Michigan State,Big Ten,56,71,False,,7,10,L 4,Bryce Jordan Center
18,2019-01-16,2019,REG,Penn State,Iowa,Big Ten,82,89,False,,7,11,L 5,Bryce Jordan Center
19,2019-01-19,2019,REG,Penn State,Minnesota,Big Ten,64,65,False,,7,12,L 6,Williams Arena
20,2019-01-26,2019,REG,Penn State,Rutgers,Big Ten,60,64,False,,7,13,L 7,Bryce Jordan Center
21,2019-01-31,2019,REG,Penn State,Purdue,Big Ten,90,99,False,OT,7,14,L 8,Bryce Jordan Center
22,2019-02-04,2019,REG,Penn State,Northwestern,Big Ten,59,52,True,,8,14,W 1,Welsh-Ryan Arena
23,2019-02-07,2019,REG,Penn State,Ohio State,Big Ten,70,74,False,,8,15,L 1,Value City Arena
24,2019-02-12,2019,REG,Penn State,Michigan,Big Ten,75,69,True,,9,15,W 1,Bryce Jordan Center
25,2019-02-16,2019,REG,Penn State,Purdue,Big Ten,64,76,False,,9,16,L 1,Mackey Arena
26,2019-02-19,2019,REG,Penn State,Nebraska,Big Ten,95,71,True,,10,16,W 1,Bryce Jordan Center
27,2019-02-23,2019,REG,Penn State,Illinois,Big Ten,83,76,True,,11,16,W 2,State Farm Center
28,2019-02-27,2019,REG,Penn State,Maryland,Big Ten,78,61,True,,12,16,W 3,Bryce Jordan Center
29,2019-03-02,2019,REG,Penn State,Wisconsin,Big Ten,57,61,False,,12,17,L 1,Kohl Center
30,2019-03-06,2019,REG,Penn State,Rutgers,Big Ten,66,65,True,,13,17,W 1,Louis Brown Athletic Center
31,2019-03-10,2019,REG,Penn State,Illinois,Big Ten,72,56,True,,14,17,W 2,Bryce Jordan Center
32,2019-03-14,2019,CTOURN,Penn State,Minnesota,Big Ten,72,77,False,OT,14,18,L 1,United Center
1,2019-11-05,2020,REG,Penn State,Maryland-Eastern Shore,MEAC,84,46,True,,1,0,W 1,Bryce Jordan Center
2,2019-11-09,2020,REG,Penn State,Wagner,NEC,91,64,True,,2,0,W 2,Bryce Jordan Center
3,2019-11-14,2020,REG,Penn State,Georgetown,Big East,81,66,True,,3,0,W 3,Capital One Arena
4,2019-11-19,2020,REG,Penn State,Bucknell,Patriot,98,70,True,,4,0,W 4,Bryce Jordan Center
5,2019-11-23,2020,REG,Penn State,Yale,Ivy,58,56,True,,5,0,W 5,Bryce Jordan Center
6,2019-11-27,2020,REG,Penn State,Mississippi,SEC,72,74,False,,5,1,L 1,Barclays Center
7,2019-11-29,2020,REG,Penn State,Syracuse,ACC,85,64,True,,6,1,W 1,Barclays Center
8,2019-12-04,2020,REG,Penn State,Wake Forest,ACC,76,54,True,,7,1,W 2,Bryce Jordan Center
9,2019-12-07,2020,REG,Penn State,Ohio State,Big Ten,74,106,False,,7,2,L 1,Value City Arena
10,2019-12-10,2020,REG,Penn State,Maryland,Big Ten,76,69,True,,8,2,W 1,Bryce Jordan Center
11,2019-12-14,2020,REG,Penn State,Alabama,SEC,73,71,True,,9,2,W 2,Bryce Jordan Center
12,2019-12-20,2020,REG,Penn State,Central Connecticut State,NEC,87,58,True,,10,2,W 3,Bryce Jordan Center
13,2019-12-29,2020,REG,Penn State,Cornell,Ivy,90,59,True,,11,2,W 4,Bryce Jordan Center
14,2020-01-04,2020,REG,Penn State,Iowa,Big Ten,89,86,True,,12,2,W 5,The Palestra
15,2020-01-07,2020,REG,Penn State,Rutgers,Big Ten,61,72,False,,12,3,L 1,Rutgers Athletic Center
16,2020-01-11,2020,REG,Penn State,Wisconsin,Big Ten,49,58,False,,12,4,L 2,Bryce Jordan Center
17,2020-01-15,2020,REG,Penn State,Minnesota,Big Ten,69,75,False,,12,5,L 3,Williams Arena
18,2020-01-18,2020,REG,Penn State,Ohio State,Big Ten,90,76,True,,13,5,W 1,Bryce Jordan Center
19,2020-01-22,2020,REG,Penn State,Michigan,Big Ten,72,63,True,,14,5,W 2,Crisler Arena
20,2020-01-29,2020,REG,Penn State,Indiana,Big Ten,64,49,True,,15,5,W 3,Bryce Jordan Center
21,2020-02-01,2020,REG,Penn State,Nebraska,Big Ten,76,64,True,,16,5,W 4,Pinnacle Bank Arena
22,2020-02-04,2020,REG,Penn State,Michigan State,Big Ten,75,70,True,,17,5,W 5,Breslin Events Center
23,2020-02-08,2020,REG,Penn State,Minnesota,Big Ten,83,77,True,,18,5,W 6,Bryce Jordan Center
24,2020-02-11,2020,REG,Penn State,Purdue,Big Ten,88,76,True,,19,5,W 7,Mackey Arena
25,2020-02-15,2020,REG,Penn State,Northwestern,Big Ten,77,61,True,,20,5,W 8,Bryce Jordan Center
26,2020-02-18,2020,REG,Penn State,Illinois,Big Ten,56,62,False,,20,6,L 1,Bryce Jordan Center
27,2020-02-23,2020,REG,Penn State,Indiana,Big Ten,60,68,False,,20,7,L 2,Assembly Hall
28,2020-02-26,2020,REG,Penn State,Rutgers,Big Ten,65,64,True,,21,7,W 1,Bryce Jordan Center
29,2020-02-29,2020,REG,Penn State,Iowa,Big Ten,68,77,False,,21,8,L 1,Carver-Hawkeye Arena
30,2020-03-03,2020,REG,Penn State,Michigan State,Big Ten,71,79,False,,21,9,L 2,Bryce Jordan Center
31,2020-03-07,2020,REG,Penn State,Northwestern,Big Ten,69,80,False,,21,10,L 3,Welsh-Ryan Arena
1,2020-11-28,2021,REG,Penn State,Virginia Military Institute,Southern,86,65,True,,1,0,W 1,Bryce Jordan Center
2,2020-12-02,2021,REG,Penn State,Virginia Commonwealth,A-10,72,69,True,,2,0,W 2,Bryce Jordan Center
3,2020-12-06,2021,REG,Penn State,Seton Hall,Big East,92,98,False,OT,2,1,L 1,Bryce Jordan Center
4,2020-12-08,2021,REG,Penn State,Virginia Tech,ACC,75,55,True,,3,1,W 1,Cassell Coliseum
5,2020-12-13,2021,REG,Penn State,Michigan,Big Ten,58,62,False,,3,2,L 1,Crisler Arena
6,2020-12-23,2021,REG,Penn State,Illinois,Big Ten,81,98,False,,3,3,L 2,Bryce Jordan Center
7,2020-12-30,2021,REG,Penn State,Indiana,Big Ten,85,87,False,OT,3,4,L 3,Assembly Hall
8,2021-01-17,2021,REG,Penn State,Purdue,Big Ten,72,80,False,,3,5,L 4,Mackey Arena
9,2021-01-19,2021,REG,Penn State,Illinois,Big Ten,65,79,False,,3,6,L 5,State Farm Center
10,2021-01-21,2021,REG,Penn State,Rutgers,Big Ten,75,67,True,,4,6,W 1,Bryce Jordan Center
11,2021-01-23,2021,REG,Penn State,Northwestern,Big Ten,81,78,True,,5,6,W 2,Bryce Jordan Center
12,2021-01-27,2021,REG,Penn State,Ohio State,Big Ten,79,83,False,,5,7,L 1,Value City Arena
13,2021-01-30,2021,REG,Penn State,Wisconsin,Big Ten,81,71,True,,6,7,W 1,Bryce Jordan Center
14,2021-02-02,2021,REG,Penn State,Wisconsin,Big Ten,56,72,False,,6,8,L 1,Kohl Center
15,2021-02-05,2021,REG,Penn State,Maryland,Big Ten,55,50,True,,7,8,W 1,Bryce Jordan Center
16,2021-02-09,2021,REG,Penn State,Michigan State,Big Ten,58,60,False,,7,9,L 1,Breslin Events Center
17,2021-02-14,2021,REG,Penn State,Nebraska,Big Ten,61,62,False,,7,10,L 2,Bryce Jordan Center
18,2021-02-18,2021,REG,Penn State,Ohio State,Big Ten,82,92,False,,7,11,L 3,Bryce Jordan Center
19,2021-02-21,2021,REG,Penn State,Iowa,Big Ten,68,74,False,,7,12,L 4,Carver-Hawkeye Arena
20,2021-02-23,2021,REG,Penn State,Nebraska,Big Ten,86,83,True,,8,12,W 1,Pinnacle Bank Arena
21,2021-02-26,2021,REG,Penn State,Purdue,Big Ten,52,73,False,,8,13,L 1,Bryce Jordan Center
22,2021-03-03,2021,REG,Penn State,Minnesota,Big Ten,84,65,True,,9,13,W 1,Bryce Jordan Center
23,2021-03-07,2021,REG,Penn State,Maryland,Big Ten,66,61,True,,10,13,W 2,Xfinity Center
24,2021-03-10,2021,CTOURN,Penn State,Nebraska,Big Ten,72,66,True,,11,13,W 3,Lucas Oil Stadium
25,2021-03-11,2021,CTOURN,Penn State,Wisconsin,Big Ten,74,75,False,,11,14,L 1,Lucas Oil Stadium
1,2009-11-14,2010,REG,Rutgers,Marist,MAAC,74,67,True,,1,0,W 1,Louis Brown Athletic Center
2,2009-11-20,2010,REG,Rutgers,Drexel,CAA,58,56,True,,2,0,W 2,Louis Brown Athletic Center
3,2009-11-22,2010,REG,Rutgers,Vermont,AEC,71,77,False,,2,1,L 1,Louis Brown Athletic Center
4,2009-11-27,2010,REG,Rutgers,Massachusetts,A-10,83,75,True,,3,1,W 1,Boardwalk Hall
5,2009-11-28,2010,REG,Rutgers,Florida,SEC,58,73,False,,3,2,L 1,Boardwalk Hall
6,2009-12-03,2010,REG,Rutgers,Princeton,Ivy,58,44,True,,4,2,W 1,Louis Brown Athletic Center
7,2009-12-06,2010,REG,Rutgers,Colgate,Patriot,76,67,True,,5,2,W 2,Louis Brown Athletic Center
8,2009-12-09,2010,REG,Rutgers,Monmouth,NEC,66,52,True,,6,2,W 3,Louis Brown Athletic Center
9,2009-12-15,2010,REG,Rutgers,Rider,MAAC,80,70,True,OT,7,2,W 4,Louis Brown Athletic Center
10,2009-12-19,2010,REG,Rutgers,NJIT,GWC,71,62,True,,8,2,W 5,Louis Brown Athletic Center
11,2009-12-22,2010,REG,Rutgers,Saint Peter's,MAAC,66,42,True,,9,2,W 6,Louis Brown Athletic Center
12,2009-12-28,2010,REG,Rutgers,North Carolina,ACC,67,81,False,,9,3,L 1,Dean Smith Center
13,2010-01-02,2010,REG,Rutgers,Cincinnati,Big East,58,65,False,,9,4,L 2,Louis Brown Athletic Center
14,2010-01-06,2010,REG,Rutgers,West Virginia,Big East,52,86,False,,9,5,L 3,WVU Coliseum
15,2010-01-09,2010,REG,Rutgers,Providence,Big East,81,94,False,,9,6,L 4,Dunkin' Donuts Center
16,2010-01-13,2010,REG,Rutgers,Syracuse,Big East,65,81,False,,9,7,L 5,Louis Brown Athletic Center
17,2010-01-16,2010,REG,Rutgers,South Florida,Big East,64,73,False,,9,8,L 6,Sun Dome
18,2010-01-20,2010,REG,Rutgers,Villanova,Big East,68,94,False,,9,9,L 7,Louis Brown Athletic Center
19,2010-01-23,2010,REG,Rutgers,Georgetown,Big East,63,88,False,,9,10,L 8,Verizon Center
20,2010-01-26,2010,REG,Rutgers,Marquette,Big East,59,82,False,,9,11,L 9,Bradley Center
21,2010-01-30,2010,REG,Rutgers,Notre Dame,Big East,74,73,True,,10,11,W 1,Louis Brown Athletic Center
22,2010-02-02,2010,REG,Rutgers,St. John's (NY),Big East,84,72,True,,11,11,W 2,Louis Brown Athletic Center
23,2010-02-06,2010,REG,Rutgers,Louisville,Big East,60,76,False,,11,12,L 1,Freedom Hall
24,2010-02-09,2010,REG,Rutgers,Caldwell,,70,62,True,,12,12,W 1,Louis Brown Athletic Center
25,2010-02-14,2010,REG,Rutgers,Georgetown,Big East,71,68,True,,13,12,W 2,Louis Brown Athletic Center
26,2010-02-16,2010,REG,Rutgers,DePaul,Big East,68,64,True,,14,12,W 3,Allstate Arena
27,2010-02-20,2010,REG,Rutgers,Connecticut,Big East,58,76,False,,14,13,L 1,Louis Brown Athletic Center
28,2010-02-23,2010,REG,Rutgers,Seton Hall,Big East,70,76,False,,14,14,L 2,Prudential Center
29,2010-02-27,2010,REG,Rutgers,DePaul,Big East,71,62,True,,15,14,W 1,Louis Brown Athletic Center
30,2010-03-04,2010,REG,Rutgers,Seton Hall,Big East,74,85,False,,15,15,L 1,Louis Brown Athletic Center
31,2010-03-06,2010,REG,Rutgers,Pittsburgh,Big East,54,83,False,,15,16,L 2,Petersen Events Center
32,2010-03-09,2010,CTOURN,Rutgers,Cincinnati,Big East,68,69,False,,15,17,L 3,Madison Square Garden (IV)
1,2010-11-12,2011,REG,Rutgers,Princeton,Ivy,73,78,False,OT,0,1,L 1,Jadwin Gymnasium
2,2010-11-15,2011,REG,Rutgers,Fairfield,MAAC,68,53,True,,1,1,W 1,Louis Brown Athletic Center
3,2010-11-21,2011,REG,Rutgers,Miami (FL),ACC,61,45,True,,2,1,W 2,Louis Brown Athletic Center
4,2010-11-23,2011,REG,Rutgers,Norfolk State,MEAC,83,59,True,,3,1,W 3,Louis Brown Athletic Center
5,2010-11-26,2011,REG,Rutgers,Saint Joseph's,A-10,70,76,False,,3,2,L 1,The Palestra
6,2010-12-01,2011,REG,Rutgers,NJIT,GWC,66,54,True,,4,2,W 1,Louis Brown Athletic Center
7,2010-12-07,2011,REG,Rutgers,Marist,MAAC,64,48,True,,5,2,W 2,Louis Brown Athletic Center
8,2010-12-11,2011,REG,Rutgers,Auburn,SEC,63,54,True,,6,2,W 3,CONSOL Energy Center
9,2010-12-14,2011,REG,Rutgers,Fairleigh Dickinson,NEC,79,65,True,,7,2,W 4,Louis Brown Athletic Center
10,2010-12-18,2011,REG,Rutgers,Monmouth,NEC,79,56,True,,8,2,W 5,Multipurpose Activity Center
11,2010-12-23,2011,REG,Rutgers,Saint Peter's,MAAC,55,52,True,,9,2,W 6,Louis Brown Athletic Center
12,2010-12-28,2011,REG,Rutgers,North Carolina,ACC,55,78,False,,9,3,L 1,
13,2011-01-02,2011,REG,Rutgers,Villanova,Big East,65,81,False,,9,4,L 2,The Pavilion
14,2011-01-05,2011,REG,Rutgers,Marquette,Big East,65,73,False,,9,5,L 3,Louis Brown Athletic Center
15,2011-01-08,2011,REG,Rutgers,Providence,Big East,85,72,True,,10,5,W 1,Louis Brown Athletic Center
16,2011-01-11,2011,REG,Rutgers,Connecticut,Big East,53,67,False,,10,6,L 1,XL Center
17,2011-01-15,2011,REG,Rutgers,Georgetown,Big East,65,74,False,,10,7,L 2,Louis Brown Athletic Center
18,2011-01-20,2011,REG,Rutgers,South Florida,Big East,71,62,True,,11,7,W 1,Louis Brown Athletic Center
19,2011-01-22,2011,REG,Rutgers,Seton Hall,Big East,66,60,True,,12,7,W 2,Prudential Center
20,2011-01-26,2011,REG,Rutgers,Cincinnati,Big East,56,72,False,,12,8,L 1,Fifth Third Arena
21,2011-01-29,2011,REG,Rutgers,Pittsburgh,Big East,62,65,False,,12,9,L 2,Louis Brown Athletic Center
22,2011-02-02,2011,REG,Rutgers,St. John's (NY),Big East,56,58,False,,12,10,L 3,Carnesecca Arena
23,2011-02-06,2011,REG,Rutgers,Notre Dame,Big East,69,76,False,,12,11,L 4,Purcell Pavilion at the Joyce Center
24,2011-02-09,2011,REG,Rutgers,Villanova,Big East,77,76,True,,13,11,W 1,Louis Brown Athletic Center
25,2011-02-12,2011,REG,Rutgers,Seton Hall,Big East,64,69,False,,13,12,L 1,Louis Brown Athletic Center
26,2011-02-19,2011,REG,Rutgers,Syracuse,Big East,80,84,False,OT,13,13,L 2,Carrier Dome
27,2011-02-22,2011,REG,Rutgers,Louisville,Big East,37,55,False,,13,14,L 3,Louis Brown Athletic Center
28,2011-02-27,2011,REG,Rutgers,West Virginia,Big East,54,65,False,,13,15,L 4,Louis Brown Athletic Center
29,2011-03-02,2011,REG,Rutgers,DePaul,Big East,68,64,True,,14,15,W 1,Allstate Arena
30,2011-03-05,2011,REG,Rutgers,Providence,Big East,74,75,False,,14,16,L 1,Dunkin' Donuts Center
31,2011-03-08,2011,CTOURN,Rutgers,Seton Hall,Big East,76,70,True,OT,15,16,W 1,Madison Square Garden (IV)
32,2011-03-09,2011,CTOURN,Rutgers,St. John's (NY),Big East,63,65,False,,15,17,L 1,Madison Square Garden (IV)
1,2011-11-11,2012,REG,Rutgers,Dartmouth,Ivy,62,56,True,,1,0,W 1,Louis Brown Athletic Center
2,2011-11-15,2012,REG,Rutgers,Miami (FL),ACC,57,72,False,,1,1,L 1,BankUnited Center
3,2011-11-17,2012,REG,Rutgers,Sacred Heart,NEC,91,75,True,,2,1,W 1,Louis Brown Athletic Center
4,2011-11-20,2012,REG,Rutgers,Hampton,MEAC,66,52,True,,3,1,W 2,Louis Brown Athletic Center
5,2011-11-22,2012,REG,Rutgers,Illinois State,MVC,70,76,False,,3,2,L 1,Moon Palace Resort
6,2011-11-23,2012,REG,Rutgers,Richmond,A-10,53,58,False,,3,3,L 2,Moon Palace Resort
7,2011-11-28,2012,REG,Rutgers,Maryland-Baltimore County,AEC,94,56,True,,4,3,W 1,Louis Brown Athletic Center
