,Player,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Starter,game_id,TEAM
10,School Totals,200,24,57,.421,23,43,.535,1,14,.071,6,9,.667,7,30,37,6,6,3,17,16,55,False,1099,Penn State
10,School Totals,200,20,53,.377,16,33,.485,4,20,.200,8,13,.615,9,24,33,10,4,2,16,13,52,False,2118,Penn State
10,School Totals,200,25,69,.362,18,45,.400,7,24,.292,7,12,.583,17,24,41,11,3,4,8,15,64,False,2119,Penn State
11,School Totals,200,22,60,.367,17,38,.447,5,22,.227,7,10,.700,7,18,25,11,8,4,13,19,56,False,1473,Penn State
10,School Totals,200,30,64,.469,18,29,.621,12,35,.343,10,13,.769,5,27,32,23,6,5,12,20,82,False,2120,Penn State
11,School Totals,200,22,52,.423,14,35,.400,8,17,.471,12,20,.600,7,22,29,13,8,4,12,22,64,False,2121,Penn State
11,School Totals,200,20,57,.351,14,33,.424,6,24,.250,14,20,.700,10,22,32,9,8,7,14,19,60,False,2122,Penn State
10,School Totals,225,24,61,.393,12,32,.375,12,29,.414,30,41,.732,14,21,35,13,2,3,9,20,90,False,2123,Penn State
11,School Totals,200,20,53,.377,17,38,.447,3,15,.200,16,26,.615,8,27,35,12,9,5,9,15,59,False,2124,Penn State
11,School Totals,200,26,60,.433,22,46,.478,4,14,.286,14,18,.778,6,19,25,8,12,1,10,23,70,False,1818,Penn State
10,School Totals,200,24,52,.462,18,37,.486,6,15,.400,21,34,.618,11,20,31,7,7,3,11,13,75,False,1108,Penn State
12,School Totals,200,23,60,.383,18,36,.500,5,24,.208,13,17,.765,8,12,20,11,13,3,16,24,64,False,2125,Penn State
13,School Totals,200,35,63,.556,24,41,.585,11,22,.500,14,16,.875,13,21,34,17,8,3,6,17,95,False,2126,Penn State
10,School Totals,200,26,53,.491,21,36,.583,5,17,.294,26,32,.813,8,29,37,12,4,7,17,26,83,False,2127,Penn State
10,School Totals,200,27,59,.458,20,39,.513,7,20,.350,17,21,.810,10,19,29,16,11,2,10,15,78,False,719,Penn State
9,School Totals,200,19,54,.352,14,38,.368,5,16,.313,14,19,.737,9,25,34,6,2,7,11,17,57,False,2128,Penn State
9,School Totals,200,26,66,.394,19,49,.388,7,17,.412,7,13,.538,13,30,43,9,9,8,12,18,66,False,2129,Penn State
10,School Totals,200,24,57,.421,15,28,.536,9,29,.310,15,22,.682,9,24,33,18,10,3,15,18,72,False,2130,Penn State
10,School Totals,225,30,71,.423,26,56,.464,4,15,.267,8,12,.667,12,22,34,13,6,3,10,23,72,False,2131,Penn State
14,School Totals,200,29,58,.500,17,27,.630,12,31,.387,14,24,.583,13,25,38,19,10,11,15,17,84,False,2132,Penn State
12,School Totals,200,30,65,.462,19,35,.543,11,30,.367,20,33,.606,10,28,38,16,9,2,12,19,91,False,2133,Penn State
10,School Totals,200,28,63,.444,15,34,.441,13,29,.448,12,17,.706,9,30,39,19,15,5,20,21,81,False,2134,Penn State
12,School Totals,200,39,65,.600,34,49,.694,5,16,.313,15,23,.652,11,25,36,15,8,6,9,9,98,False,2135,Penn State
11,School Totals,200,23,69,.333,18,42,.429,5,27,.185,7,9,.778,14,29,43,14,12,4,6,15,58,False,2136,Penn State
10,School Totals,200,26,58,.448,21,39,.538,5,19,.263,15,18,.833,6,25,31,16,10,12,16,20,72,False,2137,Penn State
11,School Totals,200,27,67,.403,17,37,.459,10,30,.333,21,31,.677,20,31,51,18,6,4,13,21,85,False,2138,Penn State
14,School Totals,200,30,68,.441,25,40,.625,5,28,.179,11,17,.647,15,32,47,12,12,6,14,21,76,False,2139,Penn State
12,School Totals,200,25,59,.424,15,30,.500,10,29,.345,14,20,.700,8,11,19,7,5,3,10,25,74,False,1835,Penn State
10,School Totals,200,29,68,.426,22,49,.449,7,19,.368,11,14,.786,8,23,31,19,10,10,8,16,76,False,735,Penn State
11,School Totals,200,23,63,.365,15,36,.417,8,27,.296,19,26,.731,8,36,44,14,6,7,16,14,73,False,2140,Penn State
14,School Totals,200,33,61,.541,23,31,.742,10,30,.333,11,13,.846,6,28,34,24,9,10,13,17,87,False,2141,Penn State
14,School Totals,200,35,67,.522,27,41,.659,8,26,.308,12,18,.667,14,24,38,16,8,3,11,17,90,False,2142,Penn State
11,School Totals,200,33,72,.458,25,44,.568,8,28,.286,15,22,.682,15,19,34,13,11,5,7,16,89,False,2143,Penn State
11,School Totals,200,22,61,.361,16,35,.457,6,26,.231,11,13,.846,7,24,31,9,4,4,14,23,61,False,2144,Penn State
10,School Totals,200,17,52,.327,12,31,.387,5,21,.238,10,14,.714,5,27,32,8,6,5,10,14,49,False,2145,Penn State
11,School Totals,200,25,59,.424,19,39,.487,6,20,.300,13,20,.650,9,19,28,12,5,5,6,22,69,False,2146,Penn State
11,School Totals,200,29,54,.537,20,35,.571,9,19,.474,23,28,.821,6,23,29,14,9,7,9,24,90,False,1842,Penn State
10,School Totals,200,27,56,.482,19,37,.514,8,19,.421,10,16,.625,2,29,31,9,4,1,12,15,72,False,1136,Penn State
10,School Totals,200,24,64,.375,19,46,.413,5,18,.278,11,23,.478,9,25,34,12,15,3,7,12,64,False,356,Penn State
13,School Totals,200,30,67,.448,20,41,.488,10,26,.385,6,14,.429,13,34,47,16,5,4,15,17,76,False,2147,Penn State
10,School Totals,200,26,63,.413,17,42,.405,9,21,.429,14,19,.737,9,21,30,16,9,2,8,15,75,False,1510,Penn State
9,School Totals,200,29,58,.500,23,41,.561,6,17,.353,19,26,.731,8,28,36,16,3,4,10,15,83,False,2148,Penn State
9,School Totals,200,28,54,.519,14,28,.500,14,26,.538,18,22,.818,5,23,28,21,4,2,8,18,88,False,2149,Penn State
12,School Totals,200,28,65,.431,17,34,.500,11,31,.355,10,14,.714,12,28,40,16,7,4,10,17,77,False,2150,Penn State
9,School Totals,200,21,58,.362,17,39,.436,4,19,.211,10,13,.769,9,23,32,13,5,4,7,16,56,False,2151,Penn State
10,School Totals,200,22,53,.415,20,39,.513,2,14,.143,14,22,.636,9,25,34,4,6,3,15,24,60,False,362,Penn State
9,School Totals,200,22,56,.393,15,34,.441,7,22,.318,14,22,.636,7,30,37,13,5,3,13,13,65,False,2152,Penn State
11,School Totals,200,26,70,.371,16,39,.410,10,31,.323,6,10,.600,13,26,39,13,6,5,10,15,68,False,2153,Penn State
10,School Totals,200,23,68,.338,13,38,.342,10,30,.333,15,20,.750,14,18,32,17,5,4,2,18,71,False,1514,Penn State
10,School Totals,200,23,70,.329,13,34,.382,10,36,.278,13,17,.765,13,27,40,12,4,2,8,17,69,False,2154,Penn State
13,School Totals,200,31,72,.431,20,36,.556,11,36,.306,13,14,.929,15,23,38,13,18,4,11,18,86,False,2155,Penn State
10,School Totals,200,25,61,.410,16,35,.457,9,26,.346,13,19,.684,9,25,34,14,9,3,15,19,72,False,2156,Penn State
10,School Totals,225,32,70,.457,19,36,.528,13,34,.382,15,19,.789,7,25,32,20,5,2,14,29,92,False,2157,Penn State
16,School Totals,200,30,60,.500,18,37,.486,12,23,.522,3,8,.375,8,25,33,15,6,6,4,17,75,False,2158,Penn State
10,School Totals,200,20,65,.308,13,46,.283,7,19,.368,11,15,.733,10,20,30,10,7,2,8,17,58,False,1153,Penn State
11,School Totals,200,35,65,.538,28,42,.667,7,23,.304,4,7,.571,8,17,25,15,6,5,12,23,81,False,2159,Penn State
10,School Totals,225,31,65,.477,19,37,.514,12,28,.429,11,15,.733,8,20,28,13,7,2,14,20,85,False,377,Penn State
10,School Totals,200,27,82,.329,17,43,.395,10,39,.256,8,13,.615,18,25,43,11,7,3,6,26,72,False,2160,Penn State
13,School Totals,200,21,62,.339,14,44,.318,7,18,.389,16,21,.762,12,24,36,8,10,0,15,26,65,False,2161,Penn State
8,School Totals,200,27,55,.491,21,36,.583,6,19,.316,15,24,.625,12,26,38,16,10,2,14,11,75,False,2162,Penn State
10,School Totals,200,26,55,.473,17,35,.486,9,20,.450,20,26,.769,12,25,37,12,10,4,16,15,81,False,2163,Penn State
10,School Totals,200,26,59,.441,17,40,.425,9,19,.474,18,24,.750,9,15,24,9,6,0,11,19,79,False,1867,Penn State
9,School Totals,200,27,60,.450,19,36,.528,8,24,.333,19,25,.760,5,28,33,14,6,1,6,10,81,False,2164,Penn State
15,School Totals,200,22,57,.386,16,33,.485,6,24,.250,6,10,.600,10,14,24,10,6,3,13,16,56,False,2165,Penn State
9,School Totals,200,17,54,.315,12,31,.387,5,23,.217,16,18,.889,9,28,37,10,7,2,13,16,55,False,771,Penn State
9,School Totals,200,20,58,.345,15,35,.429,5,23,.217,13,15,.867,7,23,30,12,5,1,9,16,58,False,1532,Penn State
9,School Totals,200,21,65,.323,12,34,.353,9,31,.290,10,12,.833,11,22,33,13,7,3,11,9,61,False,2166,Penn State
9,School Totals,200,27,60,.450,15,32,.469,12,28,.429,16,21,.762,8,17,25,16,7,2,10,20,82,False,1869,Penn State
10,School Totals,200,22,62,.355,11,29,.379,11,33,.333,13,17,.765,7,27,34,13,10,2,10,20,68,False,2167,Penn State
11,School Totals,200,28,70,.400,14,33,.424,14,37,.378,16,19,.842,13,25,38,19,14,1,14,17,86,False,2168,Penn State
16,School Totals,200,22,62,.355,16,33,.485,6,29,.207,2,8,.250,6,18,24,11,6,4,12,15,52,False,2169,Penn State
16,School Totals,200,32,70,.457,22,45,.489,10,25,.400,10,19,.526,16,28,44,19,5,2,6,15,84,False,2170,Penn State
10,School Totals,200,19,56,.339,10,30,.333,9,26,.346,19,24,.792,10,28,38,10,9,0,9,16,66,False,779,Penn State
9,School Totals,200,21,59,.356,14,32,.438,7,27,.259,23,29,.793,13,29,42,15,10,2,14,18,72,False,2171,Penn State
10,School Totals,200,28,58,.483,21,38,.553,7,20,.350,11,13,.846,8,23,31,17,5,3,8,18,74,False,2172,Penn State
11,School Totals,200,27,61,.443,20,36,.556,7,25,.280,13,21,.619,11,25,36,19,8,9,11,17,74,False,2173,Rutgers
11,School Totals,200,20,44,.455,18,37,.486,2,7,.286,16,35,.457,8,26,34,7,5,11,15,18,58,False,2174,Rutgers
11,School Totals,200,26,52,.500,20,36,.556,6,16,.375,13,19,.684,8,22,30,11,2,7,20,18,71,False,2175,Rutgers
10,School Totals,200,29,52,.558,21,38,.553,8,14,.571,17,24,.708,7,21,28,19,7,6,14,21,83,False,2176,Rutgers
13,School Totals,200,23,56,.411,20,40,.500,3,16,.188,9,15,.600,13,15,28,12,7,6,15,11,58,False,2177,Rutgers
13,School Totals,200,17,46,.370,13,35,.371,4,11,.364,20,23,.870,10,26,36,12,5,9,15,13,58,False,2178,Rutgers
12,School Totals,200,20,51,.392,13,31,.419,7,20,.350,29,38,.763,8,29,37,12,6,9,12,13,76,False,2179,Rutgers
10,School Totals,200,20,57,.351,14,39,.359,6,18,.333,20,33,.606,18,21,39,13,9,8,13,12,66,False,2180,Rutgers
10,School Totals,225,27,63,.429,15,42,.357,12,21,.571,14,24,.583,10,29,39,20,1,10,12,18,80,False,2181,Rutgers
11,School Totals,200,23,49,.469,20,35,.571,3,14,.214,22,26,.846,12,26,38,14,8,12,22,16,71,False,2182,Rutgers
13,School Totals,200,26,54,.481,21,38,.553,5,16,.313,9,13,.692,8,36,44,14,3,18,16,12,66,False,2183,Rutgers
10,School Totals,200,30,70,.429,27,47,.574,3,23,.130,4,9,.444,11,19,30,14,6,4,13,24,67,False,2184,Rutgers
10,School Totals,200,20,54,.370,13,35,.371,7,19,.368,11,12,.917,7,18,25,10,7,4,11,20,58,False,2185,Rutgers
10,School Totals,200,20,47,.426,17,37,.459,3,10,.300,9,15,.600,7,16,23,9,3,5,19,14,52,False,2186,Rutgers
10,School Totals,200,31,73,.425,23,43,.535,8,30,.267,11,14,.786,16,19,35,17,4,5,15,25,81,False,2187,Rutgers
10,School Totals,200,25,65,.385,14,34,.412,11,31,.355,4,5,.800,13,18,31,14,13,3,21,14,65,False,2188,Rutgers
10,School Totals,200,23,62,.371,17,42,.405,6,20,.300,12,20,.600,9,25,34,12,8,4,19,21,64,False,2189,Rutgers
12,School Totals,200,25,61,.410,18,35,.514,7,26,.269,11,21,.524,10,17,27,16,6,8,13,23,68,False,2190,Rutgers
10,School Totals,200,24,57,.421,14,28,.500,10,29,.345,5,9,.556,9,15,24,14,5,4,14,15,63,False,2191,Rutgers
10,School Totals,200,23,55,.418,16,36,.444,7,19,.368,6,8,.750,10,23,33,12,5,4,19,14,59,False,2192,Rutgers
9,School Totals,200,24,60,.400,16,38,.421,8,22,.364,18,26,.692,13,30,43,10,5,8,12,11,74,False,2193,Rutgers
9,School Totals,200,31,55,.564,23,40,.575,8,15,.533,14,19,.737,11,25,36,18,7,11,16,16,84,False,2194,Rutgers
9,School Totals,200,23,60,.383,17,41,.415,6,19,.316,8,12,.667,11,15,26,17,9,1,10,15,60,False,2195,Rutgers
9,School Totals,200,22,52,.423,11,24,.458,11,28,.393,15,19,.789,7,27,34,17,10,7,16,10,70,False,2196,Rutgers
10,School Totals,200,26,58,.448,19,40,.475,7,18,.389,12,16,.750,11,17,28,17,8,6,8,12,71,False,2197,Rutgers
9,School Totals,200,24,53,.453,16,31,.516,8,22,.364,12,19,.632,17,25,42,13,3,6,18,13,68,False,2198,Rutgers
9,School Totals,200,21,60,.350,15,39,.385,6,21,.286,10,20,.500,13,19,32,11,7,7,15,17,58,False,2199,Rutgers
9,School Totals,200,26,68,.382,21,46,.457,5,22,.227,13,20,.650,17,28,45,9,3,7,16,13,70,False,2200,Rutgers
10,School Totals,200,25,48,.521,18,28,.643,7,20,.350,14,19,.737,11,21,32,18,6,8,17,14,71,False,2201,Rutgers
9,School Totals,200,26,72,.361,19,49,.388,7,23,.304,15,24,.625,13,25,38,13,8,7,4,19,74,False,2202,Rutgers
12,School Totals,200,18,44,.409,14,28,.500,4,16,.250,14,22,.636,5,14,19,8,1,6,12,20,54,False,2203,Rutgers
9,School Totals,200,22,51,.431,13,27,.481,9,24,.375,15,23,.652,4,24,28,16,1,7,7,18,68,False,2204,Rutgers
11,School Totals,225,29,59,.492,24,44,.545,5,15,.333,10,18,.556,8,17,25,10,13,3,11,24,73,False,2205,Rutgers
10,School Totals,200,27,56,.482,19,38,.500,8,18,.444,6,13,.462,9,24,33,14,7,10,10,19,68,False,2206,Rutgers
14,School Totals,200,24,56,.429,19,40,.475,5,16,.313,8,10,.800,10,22,32,17,11,6,12,20,61,False,2207,Rutgers
14,School Totals,200,33,66,.500,24,50,.480,9,16,.563,8,15,.533,13,22,35,17,7,3,10,23,83,False,2208,Rutgers
10,School Totals,200,27,59,.458,21,41,.512,6,18,.333,10,19,.526,9,17,26,16,9,4,9,21,70,False,2209,Rutgers
11,School Totals,200,22,48,.458,20,38,.526,2,10,.200,20,25,.800,9,24,33,6,9,8,13,15,66,False,2210,Rutgers
10,School Totals,200,25,60,.417,22,41,.537,3,19,.158,11,16,.688,14,23,37,13,10,7,14,19,64,False,2211,Rutgers
10,School Totals,200,20,59,.339,13,37,.351,7,22,.318,16,19,.842,16,24,40,13,3,5,10,18,63,False,2212,Rutgers
12,School Totals,200,28,54,.519,21,36,.583,7,18,.389,16,23,.696,10,20,30,22,12,5,13,19,79,False,2213,Rutgers
14,School Totals,200,31,63,.492,22,44,.500,9,19,.474,8,12,.667,15,26,41,17,7,3,13,15,79,False,2214,Rutgers
10,School Totals,200,19,46,.413,16,35,.457,3,11,.273,14,27,.519,8,22,30,11,9,5,11,14,55,False,2215,Rutgers
12,School Totals,200,20,59,.339,15,37,.405,5,22,.227,10,16,.625,6,24,30,10,11,4,16,21,55,False,2216,Rutgers
11,School Totals,200,20,48,.417,17,35,.486,3,13,.231,22,28,.786,5,12,17,13,9,7,14,28,65,False,2217,Rutgers
9,School Totals,200,26,56,.464,17,38,.447,9,18,.500,4,11,.364,13,15,28,17,9,4,13,24,65,False,2218,Rutgers
9,School Totals,200,31,57,.544,28,49,.571,3,8,.375,20,27,.741,9,27,36,18,7,10,15,25,85,False,2219,Rutgers
12,School Totals,200,20,58,.345,17,41,.415,3,17,.176,10,14,.714,10,23,33,8,6,5,9,16,53,False,2220,Rutgers
9,School Totals,200,25,58,.431,19,42,.452,6,16,.375,9,13,.692,14,14,28,14,7,6,12,18,65,False,2221,Rutgers
10,School Totals,200,23,50,.460,15,35,.429,8,15,.533,17,21,.810,4,19,23,12,10,5,7,17,71,False,2222,Rutgers
9,School Totals,200,25,53,.472,22,43,.512,3,10,.300,13,27,.481,10,28,38,6,4,6,13,12,66,False,2223,Rutgers
9,School Totals,200,23,50,.460,22,39,.564,1,11,.091,9,14,.643,5,17,22,9,6,1,13,22,56,False,2224,Rutgers
10,School Totals,200,22,57,.386,17,39,.436,5,18,.278,13,18,.722,4,18,22,11,5,8,6,26,62,False,2225,Rutgers
10,School Totals,200,20,42,.476,13,26,.500,7,16,.438,9,14,.643,9,21,30,16,5,8,23,23,56,False,2226,Rutgers
10,School Totals,200,27,62,.435,20,42,.476,7,20,.350,8,12,.667,7,22,29,16,9,2,7,26,69,False,2227,Rutgers
10,School Totals,200,27,57,.474,19,40,.475,8,17,.471,15,21,.714,13,13,26,15,7,0,8,19,77,False,2228,Rutgers
10,School Totals,200,23,53,.434,15,34,.441,8,19,.421,10,10,1.000,5,16,21,18,7,1,18,13,64,False,2229,Rutgers
10,School Totals,225,31,68,.456,22,45,.489,9,23,.391,9,14,.643,13,18,31,17,10,1,11,29,80,False,2230,Rutgers
13,School Totals,200,13,44,.295,11,30,.367,2,14,.143,9,14,.643,6,24,30,12,6,3,18,14,37,False,2231,Rutgers
12,School Totals,200,20,59,.339,19,46,.413,1,13,.077,13,16,.813,9,17,26,8,7,4,6,22,54,False,2232,Rutgers
9,School Totals,200,26,58,.448,21,48,.438,5,10,.500,11,15,.733,11,22,33,16,7,2,9,16,68,False,2233,Rutgers
9,School Totals,200,31,52,.596,25,40,.625,6,12,.500,6,9,.667,6,20,26,15,5,1,14,17,74,False,2234,Rutgers
10,School Totals,225,23,50,.460,17,34,.500,6,16,.375,24,37,.649,8,27,35,13,13,1,14,16,76,False,2235,Rutgers
10,School Totals,200,22,61,.361,16,42,.381,6,19,.316,13,15,.867,14,17,31,14,5,5,14,20,63,False,2236,Rutgers
12,School Totals,200,22,46,.478,20,42,.476,2,4,.500,16,23,.696,8,23,31,9,7,6,16,17,62,False,2237,Rutgers
11,School Totals,200,24,65,.369,15,42,.357,9,23,.391,0,6,.000,17,15,32,12,3,2,14,17,57,False,2238,Rutgers
14,School Totals,200,34,54,.630,29,44,.659,5,10,.500,18,25,.720,10,16,26,15,12,2,16,23,91,False,2239,Rutgers
11,School Totals,200,20,63,.317,17,47,.362,3,16,.188,23,27,.852,16,23,39,13,13,3,16,22,66,False,2240,Rutgers
12,School Totals,200,29,61,.475,25,49,.510,4,12,.333,8,18,.444,9,16,25,13,8,1,11,26,70,False,2241,Rutgers
11,School Totals,200,19,53,.358,17,44,.386,2,9,.222,13,18,.722,12,16,28,5,6,3,18,19,53,False,2242,Rutgers
14,School Totals,200,34,61,.557,24,44,.545,10,17,.588,16,20,.800,12,24,36,27,13,4,15,20,94,False,2243,Rutgers
11,School Totals,200,15,45,.333,13,34,.382,2,11,.182,18,24,.750,8,22,30,9,16,2,17,21,50,False,2244,Rutgers
11,School Totals,200,20,53,.377,16,37,.432,4,16,.250,13,18,.722,13,22,35,8,8,5,18,19,57,False,2245,Rutgers
13,School Totals,200,27,57,.474,20,39,.513,7,18,.389,20,27,.741,14,20,34,19,10,11,17,21,81,False,2246,Rutgers
9,School Totals,200,24,46,.522,22,39,.564,2,7,.286,17,22,.773,6,20,26,9,8,9,15,21,67,False,2247,Rutgers
12,School Totals,200,27,62,.435,25,48,.521,2,14,.143,21,28,.750,15,30,45,15,9,7,15,17,77,False,2248,Rutgers
10,School Totals,250,35,72,.486,28,54,.519,7,18,.389,8,11,.727,8,24,32,18,6,2,11,18,85,False,2249,Rutgers
11,School Totals,200,25,54,.463,19,39,.487,6,15,.400,9,11,.818,10,12,22,11,13,5,14,18,65,False,2250,Rutgers
14,School Totals,200,24,52,.462,20,36,.556,4,16,.250,12,25,.480,7,15,22,13,9,2,15,31,64,False,2251,Rutgers
10,School Totals,200,19,48,.396,12,30,.400,7,18,.389,22,27,.815,8,17,25,11,9,1,14,20,67,False,2252,Rutgers
14,School Totals,200,22,55,.400,17,36,.472,5,19,.263,13,20,.650,15,29,44,10,4,6,13,16,62,False,2253,Rutgers
14,School Totals,200,23,58,.397,20,44,.455,3,14,.214,11,20,.550,7,26,33,12,6,5,19,30,60,False,2254,Rutgers
10,School Totals,200,24,55,.436,17,40,.425,7,15,.467,10,14,.714,9,21,30,14,5,4,10,19,65,False,2255,Rutgers
11,School Totals,200,20,53,.377,14,37,.378,6,16,.375,4,7,.571,7,18,25,12,8,2,15,29,50,False,2256,Rutgers
10,School Totals,200,25,58,.431,19,42,.452,6,16,.375,8,15,.533,11,18,29,17,9,8,14,15,64,False,2257,Rutgers
9,School Totals,200,22,48,.458,17,34,.500,5,14,.357,12,19,.632,10,22,32,17,7,2,12,12,61,False,2258,Rutgers
10,School Totals,200,26,61,.426,21,44,.477,5,17,.294,10,17,.588,14,18,32,10,7,2,13,21,67,False,2259,Rutgers
11,School Totals,200,24,59,.407,14,34,.412,10,25,.400,8,9,.889,5,17,22,12,10,1,13,21,66,False,2260,Rutgers
11,School Totals,200,17,54,.315,11,31,.355,6,23,.261,14,20,.700,11,16,27,8,10,8,16,20,54,False,2261,Rutgers
13,School Totals,200,22,56,.393,19,42,.452,3,14,.214,6,10,.600,11,22,33,10,5,5,13,26,53,False,2262,Rutgers
9,School Totals,200,26,62,.419,23,44,.523,3,18,.167,9,11,.818,10,21,31,15,6,2,12,21,64,False,2263,Rutgers
14,School Totals,200,28,66,.424,22,49,.449,6,17,.353,3,3,1.000,14,15,29,15,8,2,21,18,65,False,2264,Rutgers
11,School Totals,225,29,55,.527,19,40,.475,10,15,.667,9,12,.750,9,20,29,17,5,5,15,20,77,False,2265,Rutgers
11,School Totals,200,22,62,.355,17,41,.415,5,21,.238,22,26,.846,12,15,27,12,9,3,10,26,71,False,2266,Rutgers
13,School Totals,200,20,53,.377,15,35,.429,5,18,.278,16,21,.762,14,26,40,10,6,1,14,21,61,False,2267,Rutgers
13,School Totals,200,16,55,.291,8,37,.216,8,18,.444,9,17,.529,10,13,23,9,6,1,14,22,49,False,2268,Rutgers
12,School Totals,200,19,53,.358,17,40,.425,2,13,.154,12,18,.667,15,25,40,10,3,1,17,15,52,False,2269,Rutgers
14,School Totals,200,37,68,.544,34,54,.630,3,14,.214,11,20,.550,14,23,37,20,8,10,7,14,88,False,2270,Rutgers
10,School Totals,200,17,43,.395,10,30,.333,7,13,.538,17,24,.708,10,30,40,7,6,5,15,17,58,False,2271,Rutgers
12,School Totals,200,28,58,.483,24,44,.545,4,14,.286,21,28,.750,13,23,36,17,4,4,9,20,81,False,2272,Rutgers
11,School Totals,200,31,54,.574,27,44,.614,4,10,.400,21,25,.840,5,22,27,12,12,5,18,21,87,False,2273,Rutgers
12,School Totals,200,22,54,.407,17,38,.447,5,16,.313,18,26,.692,6,31,37,14,6,2,14,31,67,False,2274,Rutgers
11,School Totals,200,30,62,.484,24,46,.522,6,16,.375,15,21,.714,15,29,44,17,8,5,24,18,81,False,2275,Rutgers
11,School Totals,200,25,58,.431,22,44,.500,3,14,.214,15,23,.652,10,14,24,11,15,10,14,15,68,False,2276,Rutgers
11,School Totals,200,27,45,.600,22,35,.629,5,10,.500,29,33,.879,4,23,27,18,13,4,22,17,88,False,2277,Rutgers
13,School Totals,200,33,55,.600,25,43,.581,8,12,.667,5,7,.714,7,15,22,17,13,3,9,17,79,False,2278,Rutgers
12,School Totals,200,24,56,.429,23,48,.479,1,8,.125,19,25,.760,7,21,28,12,6,2,8,20,68,False,2279,Rutgers
12,School Totals,200,20,55,.364,14,37,.378,6,18,.333,7,8,.875,7,23,30,14,4,3,20,17,53,False,2280,Rutgers
11,School Totals,200,22,43,.512,16,29,.552,6,14,.429,17,20,.850,7,24,31,13,7,5,17,18,67,False,2281,Rutgers
10,School Totals,200,22,55,.400,17,40,.425,5,15,.333,9,14,.643,7,21,28,10,7,2,12,20,58,False,2282,Rutgers
10,School Totals,200,20,53,.377,15,36,.417,5,17,.294,13,17,.765,11,21,32,11,2,3,9,25,58,False,2283,Rutgers
10,School Totals,200,28,59,.475,22,41,.537,6,18,.333,8,10,.800,9,19,28,13,3,2,6,13,70,False,2284,Rutgers
10,School Totals,200,28,61,.459,24,49,.490,4,12,.333,6,7,.857,11,16,27,15,11,4,15,18,66,False,2285,Rutgers
10,School Totals,200,23,63,.365,18,47,.383,5,16,.313,9,17,.529,12,26,38,10,6,1,17,27,60,False,2286,Rutgers
10,School Totals,200,22,56,.393,17,38,.447,5,18,.278,5,10,.500,8,22,30,11,7,3,16,19,54,False,2287,Rutgers
11,School Totals,200,18,48,.375,10,31,.323,8,17,.471,10,11,.909,4,17,21,8,8,2,20,25,54,False,2288,Rutgers
12,School Totals,200,16,50,.320,12,38,.316,4,12,.333,12,22,.545,15,13,28,7,5,5,16,18,48,False,2289,Rutgers
11,School Totals,200,21,54,.389,13,36,.361,8,18,.444,13,18,.722,14,11,25,12,6,0,8,16,63,False,2290,Rutgers
12,School Totals,200,18,46,.391,13,33,.394,5,13,.385,16,25,.640,9,23,32,13,6,11,12,21,57,False,2291,Rutgers
12,School Totals,200,25,54,.463,20,42,.476,5,12,.417,14,20,.700,12,17,29,12,8,1,12,21,69,False,2292,Rutgers
10,School Totals,200,24,56,.429,21,48,.438,3,8,.375,12,15,.800,15,17,32,13,4,2,12,23,63,False,2293,Rutgers
10,School Totals,200,26,64,.406,23,55,.418,3,9,.333,17,24,.708,16,26,42,9,2,4,7,21,72,False,2294,Rutgers
10,School Totals,200,20,54,.370,15,40,.375,5,14,.357,6,15,.400,6,17,23,12,7,1,12,30,51,False,2295,Rutgers
10,School Totals,200,23,50,.460,19,41,.463,4,9,.444,4,9,.444,11,15,26,14,4,4,15,16,54,False,2296,Rutgers
10,School Totals,200,19,46,.413,14,32,.438,5,14,.357,13,18,.722,7,17,24,10,13,1,14,14,56,False,2297,Rutgers
12,School Totals,200,33,54,.611,27,43,.628,6,11,.545,4,7,.571,7,27,34,15,7,5,14,18,76,False,2298,Rutgers
10,School Totals,200,26,62,.419,22,47,.468,4,15,.267,5,11,.455,9,18,27,13,5,3,6,18,61,False,2299,Rutgers
12,School Totals,200,31,64,.484,25,45,.556,6,19,.316,24,35,.686,16,30,46,13,9,6,15,23,92,False,2300,Rutgers
10,School Totals,200,25,58,.431,18,37,.486,7,21,.333,19,26,.731,4,19,23,14,5,6,3,25,76,False,2301,Rutgers
10,School Totals,200,24,55,.436,19,39,.487,5,16,.313,19,28,.679,11,20,31,9,10,3,12,20,72,False,2302,Rutgers
10,School Totals,200,23,63,.365,17,37,.459,6,26,.231,14,22,.636,15,30,45,15,4,4,7,15,66,False,2303,Rutgers
12,School Totals,200,21,53,.396,17,38,.447,4,15,.267,13,21,.619,9,23,32,9,3,3,14,23,59,False,2304,Rutgers
9,School Totals,200,22,54,.407,12,35,.343,10,19,.526,8,12,.667,5,25,30,10,7,7,14,21,62,False,2305,Rutgers
12,School Totals,200,41,68,.603,30,46,.652,11,22,.500,23,30,.767,11,38,49,23,5,0,15,24,116,False,2306,Rutgers
10,School Totals,200,22,57,.386,15,37,.405,7,20,.350,21,29,.724,16,17,33,12,7,5,10,21,72,False,2307,Rutgers
11,School Totals,200,31,61,.508,18,34,.529,13,27,.481,12,14,.857,11,15,26,15,2,4,15,28,87,False,2308,Rutgers
