,Player,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Starter,game_id,TEAM
10,School Totals,200,25,57,.439,21,38,.553,4,19,.211,17,24,.708,9,19,28,14,10,3,10,16,71,False,389,Indiana
12,School Totals,200,22,61,.361,14,43,.326,8,18,.444,11,18,.611,9,25,34,15,7,0,13,10,63,False,390,Indiana
12,School Totals,200,20,52,.385,16,37,.432,4,15,.267,13,17,.765,7,19,26,8,4,3,11,15,57,False,391,Indiana
10,School Totals,200,18,55,.327,16,35,.457,2,20,.100,20,29,.690,10,26,36,9,6,3,8,24,58,False,392,Indiana
10,School Totals,200,20,52,.385,15,29,.517,5,23,.217,13,18,.722,4,17,21,13,6,3,11,16,58,False,393,Indiana
9,School Totals,200,21,56,.375,19,40,.475,2,16,.125,6,15,.400,9,20,29,14,6,4,9,14,50,False,394,Indiana
12,School Totals,200,38,75,.507,32,58,.552,6,17,.353,7,9,.778,11,26,37,27,15,5,12,17,89,False,395,Maryland
11,School Totals,200,28,65,.431,24,53,.453,4,12,.333,11,16,.688,12,24,36,13,12,6,14,10,71,False,396,Maryland
11,School Totals,200,30,53,.566,25,42,.595,5,11,.455,17,23,.739,4,25,29,23,11,2,10,14,82,False,397,Maryland
13,School Totals,200,31,66,.470,25,46,.543,6,20,.300,11,16,.688,14,26,40,17,6,11,10,15,79,False,398,Maryland
11,School Totals,200,19,53,.358,17,39,.436,2,14,.143,17,31,.548,8,23,31,10,9,2,9,18,57,False,399,Maryland
10,School Totals,200,27,56,.482,22,43,.512,5,13,.385,10,17,.588,9,17,26,9,10,3,9,20,69,False,400,Maryland
9,School Totals,200,26,55,.473,21,43,.488,5,12,.417,23,31,.742,10,29,39,15,8,6,18,19,80,False,6,Maryland
10,School Totals,200,28,53,.528,19,34,.559,9,19,.474,21,27,.778,7,23,30,14,7,4,19,23,86,False,401,Maryland
10,School Totals,200,29,62,.468,22,45,.489,7,17,.412,18,22,.818,10,27,37,18,2,6,9,15,83,False,402,Maryland
12,School Totals,200,33,58,.569,21,40,.525,12,18,.667,20,28,.714,8,29,37,22,12,6,9,16,98,False,403,Maryland
9,School Totals,200,32,69,.464,29,57,.509,3,12,.250,5,11,.455,12,27,39,21,8,9,11,13,72,False,404,Maryland
10,School Totals,200,30,68,.441,26,43,.605,4,25,.160,13,19,.684,13,24,37,13,3,6,8,18,77,False,405,Maryland
13,School Totals,200,36,66,.545,33,56,.589,3,10,.300,22,28,.786,14,35,49,16,12,8,16,19,97,False,406,Maryland
10,School Totals,200,29,62,.468,19,46,.413,10,16,.625,9,17,.529,15,18,33,14,3,3,11,12,77,False,407,Maryland
10,School Totals,225,28,70,.400,20,52,.385,8,18,.444,19,25,.760,18,22,40,18,8,2,15,20,83,False,408,Maryland
11,School Totals,200,28,57,.491,21,45,.467,7,12,.583,10,14,.714,6,20,26,17,12,7,9,18,73,False,409,Maryland
12,School Totals,200,40,72,.556,37,62,.597,3,10,.300,23,32,.719,17,32,49,16,10,8,10,14,106,False,410,Maryland
