,G,Date,season_end,Type,TEAM,Opponent,Conf,Tm,Opp,Won,OT,W,L,Streak,Arena,game_id,link
13,14,2010-01-06,2010,REG,Indiana,Ohio State,Big Ten,54,79,False,,7,7,L 1,Value City Arena,13,https://www.sports-reference.com/cbb/boxscores/2010-01-06-ohio-state.html
14,15,2010-01-09,2010,REG,Indiana,Illinois,Big Ten,60,66,False,,7,8,L 2,Assembly Hall,14,https://www.sports-reference.com/cbb/boxscores/2010-01-09-indiana.html
15,16,2010-01-14,2010,REG,Indiana,Michigan,Big Ten,45,69,False,,7,9,L 3,Crisler Arena,15,https://www.sports-reference.com/cbb/boxscores/2010-01-14-michigan.html
16,17,2010-01-17,2010,REG,Indiana,Minnesota,Big Ten,81,78,True,OT,8,9,W 1,Assembly Hall,16,https://www.sports-reference.com/cbb/boxscores/2010-01-17-indiana.html
17,18,2010-01-21,2010,REG,Indiana,Penn State,Big Ten,67,61,True,,9,9,W 2,Bryce Jordan Center,17,https://www.sports-reference.com/cbb/boxscores/2010-01-21-penn-state.html
18,19,2010-01-24,2010,REG,Indiana,Iowa,Big Ten,43,58,False,,9,10,L 1,Assembly Hall,18,https://www.sports-reference.com/cbb/boxscores/2010-01-24-indiana.html
19,20,2010-01-30,2010,REG,Indiana,Illinois,Big Ten,70,72,False,,9,11,L 2,Assembly Hall,19,https://www.sports-reference.com/cbb/boxscores/2010-01-30-illinois.html
20,21,2010-02-04,2010,REG,Indiana,Purdue,Big Ten,75,78,False,,9,12,L 3,Assembly Hall,20,https://www.sports-reference.com/cbb/boxscores/2010-02-04-indiana.html
21,22,2010-02-07,2010,REG,Indiana,Northwestern,Big Ten,61,78,False,,9,13,L 4,Welsh-Ryan Arena,21,https://www.sports-reference.com/cbb/boxscores/2010-02-07-northwestern.html
22,23,2010-02-10,2010,REG,Indiana,Ohio State,Big Ten,52,69,False,,9,14,L 5,Assembly Hall,22,https://www.sports-reference.com/cbb/boxscores/2010-02-10-indiana.html
23,24,2010-02-13,2010,REG,Indiana,Wisconsin,Big Ten,55,83,False,,9,15,L 6,Kohl Center,23,https://www.sports-reference.com/cbb/boxscores/2010-02-13-wisconsin.html
24,25,2010-02-16,2010,REG,Indiana,Michigan State,Big Ten,58,72,False,,9,16,L 7,Assembly Hall,24,https://www.sports-reference.com/cbb/boxscores/2010-02-16-indiana.html
25,26,2010-02-20,2010,REG,Indiana,Minnesota,Big Ten,58,81,False,,9,17,L 8,Williams Arena,25,https://www.sports-reference.com/cbb/boxscores/2010-02-20-minnesota.html
26,27,2010-02-25,2010,REG,Indiana,Wisconsin,Big Ten,46,78,False,,9,18,L 9,Assembly Hall,26,https://www.sports-reference.com/cbb/boxscores/2010-02-25-indiana.html
27,28,2010-02-28,2010,REG,Indiana,Iowa,Big Ten,57,73,False,,9,19,L 10,Carver-Hawkeye Arena,27,https://www.sports-reference.com/cbb/boxscores/2010-02-28-iowa.html
28,29,2010-03-03,2010,REG,Indiana,Purdue,Big Ten,55,74,False,,9,20,L 11,Mackey Arena,28,https://www.sports-reference.com/cbb/boxscores/2010-03-03-purdue.html
29,30,2010-03-06,2010,REG,Indiana,Northwestern,Big Ten,88,80,True,OT,10,20,W 1,Assembly Hall,29,https://www.sports-reference.com/cbb/boxscores/2010-03-06-indiana.html
30,31,2010-03-11,2010,CTOURN,Indiana,Northwestern,Big Ten,58,73,False,,10,21,L 1,Conseco Fieldhouse,30,https://www.sports-reference.com/cbb/boxscores/2010-03-11-indiana.html
31,1,2010-11-12,2011,REG,Indiana,Florida Gulf Coast,A-Sun,88,60,True,,1,0,W 1,Assembly Hall,31,https://www.sports-reference.com/cbb/boxscores/2010-11-12-indiana.html
32,2,2010-11-14,2011,REG,Indiana,Wright State,Horizon,67,44,True,,2,0,W 2,Assembly Hall,32,https://www.sports-reference.com/cbb/boxscores/2010-11-14-indiana.html
33,3,2010-11-16,2011,REG,Indiana,Mississippi Valley State,SWAC,71,54,True,,3,0,W 3,Assembly Hall,33,https://www.sports-reference.com/cbb/boxscores/2010-11-16-indiana.html
34,4,2010-11-21,2011,REG,Indiana,Evansville,MVC,67,54,True,,4,0,W 4,Assembly Hall,34,https://www.sports-reference.com/cbb/boxscores/2010-11-21-indiana.html
35,5,2010-11-23,2011,REG,Indiana,North Carolina Central,Ind,72,56,True,,5,0,W 5,Assembly Hall,35,https://www.sports-reference.com/cbb/boxscores/2010-11-23-indiana.html
36,6,2010-11-26,2011,REG,Indiana,Northwestern State,Southland,100,66,True,,6,0,W 6,Assembly Hall,36,https://www.sports-reference.com/cbb/boxscores/2010-11-26-indiana.html
37,7,2010-12-01,2011,REG,Indiana,Boston College,ACC,76,88,False,,6,1,L 1,Silvio O. Conte Forum,37,https://www.sports-reference.com/cbb/boxscores/2010-12-01-boston-college.html
38,8,2010-12-04,2011,REG,Indiana,Savannah State,Ind,79,57,True,,7,1,W 1,Assembly Hall,38,https://www.sports-reference.com/cbb/boxscores/2010-12-04-indiana.html
39,9,2010-12-11,2011,REG,Indiana,Kentucky,SEC,62,81,False,,7,2,L 1,Rupp Arena,39,https://www.sports-reference.com/cbb/boxscores/2010-12-11-kentucky.html
40,10,2010-12-17,2011,REG,Indiana,Southern Illinois-Edwardsville,Ind,88,54,True,,8,2,W 1,Assembly Hall,40,https://www.sports-reference.com/cbb/boxscores/2010-12-17-indiana.html
41,11,2010-12-19,2011,REG,Indiana,South Carolina State,MEAC,102,60,True,,9,2,W 2,Assembly Hall,41,https://www.sports-reference.com/cbb/boxscores/2010-12-19-indiana.html
42,12,2010-12-22,2011,REG,Indiana,Northern Iowa,MVC,61,67,False,,9,3,L 1,South Point Arena,42,https://www.sports-reference.com/cbb/boxscores/2010-12-22-indiana.html
43,13,2010-12-23,2011,REG,Indiana,Colorado,Big 12,69,78,False,,9,4,L 2,South Point Arena,43,https://www.sports-reference.com/cbb/boxscores/2010-12-23-indiana.html
44,14,2010-12-27,2011,REG,Indiana,Penn State,Big Ten,60,69,False,,9,5,L 3,Assembly Hall,44,https://www.sports-reference.com/cbb/boxscores/2010-12-27-indiana.html
45,15,2010-12-31,2011,REG,Indiana,Ohio State,Big Ten,67,85,False,,9,6,L 4,Assembly Hall,45,https://www.sports-reference.com/cbb/boxscores/2010-12-31-indiana.html
46,16,2011-01-04,2011,REG,Indiana,Minnesota,Big Ten,63,67,False,,9,7,L 5,Williams Arena,46,https://www.sports-reference.com/cbb/boxscores/2011-01-04-minnesota.html
47,17,2011-01-09,2011,REG,Indiana,Northwestern,Big Ten,81,93,False,,9,8,L 6,Welsh-Ryan Arena,47,https://www.sports-reference.com/cbb/boxscores/2011-01-09-northwestern.html
48,18,2011-01-15,2011,REG,Indiana,Michigan,Big Ten,80,61,True,,10,8,W 1,Assembly Hall,48,https://www.sports-reference.com/cbb/boxscores/2011-01-15-indiana.html
49,19,2011-01-20,2011,REG,Indiana,Wisconsin,Big Ten,60,69,False,,10,9,L 1,Kohl Center,49,https://www.sports-reference.com/cbb/boxscores/2011-01-20-wisconsin.html
50,20,2011-01-23,2011,REG,Indiana,Iowa,Big Ten,77,91,False,,10,10,L 2,Carver-Hawkeye Arena,50,https://www.sports-reference.com/cbb/boxscores/2011-01-23-iowa.html
51,21,2011-01-27,2011,REG,Indiana,Illinois,Big Ten,52,49,True,,11,10,W 1,Assembly Hall,51,https://www.sports-reference.com/cbb/boxscores/2011-01-27-indiana.html
52,22,2011-01-30,2011,REG,Indiana,Michigan State,Big Ten,83,84,False,OT,11,11,L 1,Breslin Events Center,52,https://www.sports-reference.com/cbb/boxscores/2011-01-30-michigan-state.html
53,23,2011-02-02,2011,REG,Indiana,Minnesota,Big Ten,60,57,True,,12,11,W 1,Assembly Hall,53,https://www.sports-reference.com/cbb/boxscores/2011-02-02-indiana.html
54,24,2011-02-05,2011,REG,Indiana,Iowa,Big Ten,63,64,False,,12,12,L 1,Assembly Hall,54,https://www.sports-reference.com/cbb/boxscores/2011-02-05-indiana.html
55,25,2011-02-08,2011,REG,Indiana,Purdue,Big Ten,53,67,False,,12,13,L 2,Mackey Arena,55,https://www.sports-reference.com/cbb/boxscores/2011-02-08-purdue.html
56,26,2011-02-12,2011,REG,Indiana,Michigan,Big Ten,69,73,False,,12,14,L 3,Crisler Arena,56,https://www.sports-reference.com/cbb/boxscores/2011-02-12-michigan.html
57,27,2011-02-19,2011,REG,Indiana,Northwestern,Big Ten,64,70,False,,12,15,L 4,Assembly Hall,57,https://www.sports-reference.com/cbb/boxscores/2011-02-19-indiana.html
58,28,2011-02-23,2011,REG,Indiana,Purdue,Big Ten,61,72,False,,12,16,L 5,Assembly Hall,58,https://www.sports-reference.com/cbb/boxscores/2011-02-23-indiana.html
59,29,2011-02-27,2011,REG,Indiana,Ohio State,Big Ten,61,82,False,,12,17,L 6,Value City Arena,59,https://www.sports-reference.com/cbb/boxscores/2011-02-27-ohio-state.html
60,30,2011-03-03,2011,REG,Indiana,Wisconsin,Big Ten,67,77,False,,12,18,L 7,Assembly Hall,60,https://www.sports-reference.com/cbb/boxscores/2011-03-03-indiana.html
61,31,2011-03-05,2011,REG,Indiana,Illinois,Big Ten,48,72,False,,12,19,L 8,Assembly Hall,61,https://www.sports-reference.com/cbb/boxscores/2011-03-05-illinois.html
62,32,2011-03-10,2011,CTOURN,Indiana,Penn State,Big Ten,55,61,False,,12,20,L 9,,62,https://www.sports-reference.com/cbb/boxscores/2011-03-10-penn-state.html
63,1,2011-11-11,2012,REG,Indiana,Stony Brook,AEC,96,66,True,,1,0,W 1,Assembly Hall,63,https://www.sports-reference.com/cbb/boxscores/2011-11-11-indiana.html
64,2,2011-11-13,2012,REG,Indiana,Chattanooga,Southern,78,53,True,,2,0,W 2,Assembly Hall,64,https://www.sports-reference.com/cbb/boxscores/2011-11-13-indiana.html
65,3,2011-11-16,2012,REG,Indiana,Evansville,MVC,94,73,True,,3,0,W 3,Ford Center,65,https://www.sports-reference.com/cbb/boxscores/2011-11-16-evansville.html
66,4,2011-11-19,2012,REG,Indiana,Savannah State,MEAC,94,65,True,,4,0,W 4,Assembly Hall,66,https://www.sports-reference.com/cbb/boxscores/2011-11-19-indiana.html
67,5,2011-11-21,2012,REG,Indiana,Gardner-Webb,Big South,73,49,True,,5,0,W 5,Assembly Hall,67,https://www.sports-reference.com/cbb/boxscores/2011-11-21-indiana.html
68,6,2011-11-27,2012,REG,Indiana,Butler,Horizon,75,59,True,,6,0,W 6,Assembly Hall,68,https://www.sports-reference.com/cbb/boxscores/2011-11-27-indiana.html
69,7,2011-11-30,2012,REG,Indiana,North Carolina State,ACC,86,75,True,,7,0,W 7,RBC Center,69,https://www.sports-reference.com/cbb/boxscores/2011-11-30-north-carolina-state.html
70,8,2011-12-04,2012,REG,Indiana,Stetson,A-Sun,84,50,True,,8,0,W 8,Assembly Hall,70,https://www.sports-reference.com/cbb/boxscores/2011-12-04-indiana.html
71,9,2011-12-10,2012,REG,Indiana,Kentucky,SEC,73,72,True,,9,0,W 9,Assembly Hall,71,https://www.sports-reference.com/cbb/boxscores/2011-12-10-indiana.html
72,10,2011-12-17,2012,REG,Indiana,Notre Dame,Big East,69,58,True,,10,0,W 10,Purcell Pavilion at the Joyce Center,72,https://www.sports-reference.com/cbb/boxscores/2011-12-17-indiana.html
73,11,2011-12-19,2012,REG,Indiana,Howard,MEAC,107,50,True,,11,0,W 11,Assembly Hall,73,https://www.sports-reference.com/cbb/boxscores/2011-12-19-indiana.html
74,12,2011-12-22,2012,REG,Indiana,Maryland-Baltimore County,AEC,89,47,True,,12,0,W 12,Assembly Hall,74,https://www.sports-reference.com/cbb/boxscores/2011-12-22-indiana.html
75,13,2011-12-28,2012,REG,Indiana,Michigan State,Big Ten,65,80,False,,12,1,L 1,Breslin Events Center,75,https://www.sports-reference.com/cbb/boxscores/2011-12-28-michigan-state.html
76,14,2011-12-31,2012,REG,Indiana,Ohio State,Big Ten,74,70,True,,13,1,W 1,Assembly Hall,76,https://www.sports-reference.com/cbb/boxscores/2011-12-31-indiana.html
77,15,2012-01-05,2012,REG,Indiana,Michigan,Big Ten,73,71,True,,14,1,W 2,Assembly Hall,77,https://www.sports-reference.com/cbb/boxscores/2012-01-05-indiana.html
78,16,2012-01-08,2012,REG,Indiana,Penn State,Big Ten,88,82,True,,15,1,W 3,Bryce Jordan Center,78,https://www.sports-reference.com/cbb/boxscores/2012-01-08-penn-state.html
79,17,2012-01-12,2012,REG,Indiana,Minnesota,Big Ten,74,77,False,,15,2,L 1,Assembly Hall,79,https://www.sports-reference.com/cbb/boxscores/2012-01-12-indiana.html
80,18,2012-01-15,2012,REG,Indiana,Ohio State,Big Ten,63,80,False,,15,3,L 2,Value City Arena,80,https://www.sports-reference.com/cbb/boxscores/2012-01-15-ohio-state.html
81,19,2012-01-18,2012,REG,Indiana,Nebraska,Big Ten,69,70,False,,15,4,L 3,Bob Devaney Sports Center,81,https://www.sports-reference.com/cbb/boxscores/2012-01-18-nebraska.html
82,20,2012-01-22,2012,REG,Indiana,Penn State,Big Ten,73,54,True,,16,4,W 1,Assembly Hall,82,https://www.sports-reference.com/cbb/boxscores/2012-01-22-indiana.html
83,21,2012-01-26,2012,REG,Indiana,Wisconsin,Big Ten,50,57,False,,16,5,L 1,Kohl Center,83,https://www.sports-reference.com/cbb/boxscores/2012-01-26-wisconsin.html
84,22,2012-01-29,2012,REG,Indiana,Iowa,Big Ten,103,89,True,,17,5,W 1,Assembly Hall,84,https://www.sports-reference.com/cbb/boxscores/2012-01-29-indiana.html
85,23,2012-02-01,2012,REG,Indiana,Michigan,Big Ten,56,68,False,,17,6,L 1,Crisler Arena,85,https://www.sports-reference.com/cbb/boxscores/2012-02-01-michigan.html
86,24,2012-02-04,2012,REG,Indiana,Purdue,Big Ten,78,61,True,,18,6,W 1,Mackey Arena,86,https://www.sports-reference.com/cbb/boxscores/2012-02-04-purdue.html
87,25,2012-02-09,2012,REG,Indiana,Illinois,Big Ten,84,71,True,,19,6,W 2,Assembly Hall,87,https://www.sports-reference.com/cbb/boxscores/2012-02-09-indiana.html
88,26,2012-02-15,2012,REG,Indiana,Northwestern,Big Ten,71,66,True,,20,6,W 3,Assembly Hall,88,https://www.sports-reference.com/cbb/boxscores/2012-02-15-indiana.html
89,27,2012-02-19,2012,REG,Indiana,Iowa,Big Ten,66,78,False,,20,7,L 1,Carver-Hawkeye Arena,89,https://www.sports-reference.com/cbb/boxscores/2012-02-19-iowa.html
90,28,2012-02-22,2012,REG,Indiana,North Carolina Central,MEAC,75,56,True,,21,7,W 1,Assembly Hall,90,https://www.sports-reference.com/cbb/boxscores/2012-02-22-indiana.html
91,29,2012-02-26,2012,REG,Indiana,Minnesota,Big Ten,69,50,True,,22,7,W 2,Williams Arena,91,https://www.sports-reference.com/cbb/boxscores/2012-02-26-minnesota.html
92,30,2012-02-28,2012,REG,Indiana,Michigan State,Big Ten,70,55,True,,23,7,W 3,Assembly Hall,92,https://www.sports-reference.com/cbb/boxscores/2012-02-28-indiana.html
93,31,2012-03-04,2012,REG,Indiana,Purdue,Big Ten,85,74,True,,24,7,W 4,Assembly Hall,93,https://www.sports-reference.com/cbb/boxscores/2012-03-04-indiana.html
94,32,2012-03-08,2012,CTOURN,Indiana,Penn State,Big Ten,75,58,True,,25,7,W 5,Conseco Fieldhouse,94,https://www.sports-reference.com/cbb/boxscores/2012-03-08-indiana.html
95,33,2012-03-09,2012,CTOURN,Indiana,Wisconsin,Big Ten,71,79,False,,25,8,L 1,Conseco Fieldhouse,95,https://www.sports-reference.com/cbb/boxscores/2012-03-09-indiana.html
96,34,2012-03-15,2012,NCAA,Indiana,New Mexico State,WAC,79,66,True,,26,8,W 1,Rose Garden Arena,96,https://www.sports-reference.com/cbb/boxscores/2012-03-15-indiana.html
97,35,2012-03-17,2012,NCAA,Indiana,Virginia Commonwealth,CAA,63,61,True,,27,8,W 2,Rose Garden Arena,97,https://www.sports-reference.com/cbb/boxscores/2012-03-17-indiana.html
98,36,2012-03-23,2012,NCAA,Indiana,Kentucky,SEC,90,102,False,,27,9,L 1,Georgia Dome,98,https://www.sports-reference.com/cbb/boxscores/2012-03-23-indiana.html
99,1,2012-11-09,2013,REG,Indiana,Bryant,NEC,97,54,True,,1,0,W 1,Assembly Hall,99,https://www.sports-reference.com/cbb/boxscores/2012-11-09-indiana.html
100,2,2012-11-12,2013,REG,Indiana,North Dakota State,Summit,87,61,True,,2,0,W 2,Assembly Hall,100,https://www.sports-reference.com/cbb/boxscores/2012-11-12-indiana.html
101,3,2012-11-15,2013,REG,Indiana,Sam Houston State,Southland,99,45,True,,3,0,W 3,Assembly Hall,101,https://www.sports-reference.com/cbb/boxscores/2012-11-15-indiana.html
102,4,2012-11-19,2013,REG,Indiana,Georgia,SEC,66,53,True,,4,0,W 4,Barclays Center,102,https://www.sports-reference.com/cbb/boxscores/2012-11-19-georgia.html
103,5,2012-11-20,2013,REG,Indiana,Georgetown,Big East,82,72,True,OT,5,0,W 5,Barclays Center,103,https://www.sports-reference.com/cbb/boxscores/2012-11-20-georgetown.html
104,6,2012-11-25,2013,REG,Indiana,Ball State,MAC,101,53,True,,6,0,W 6,Assembly Hall,104,https://www.sports-reference.com/cbb/boxscores/2012-11-25-indiana.html
105,7,2012-11-27,2013,REG,Indiana,North Carolina,ACC,83,59,True,,7,0,W 7,Assembly Hall,105,https://www.sports-reference.com/cbb/boxscores/2012-11-27-indiana.html
106,8,2012-12-01,2013,REG,Indiana,Coppin State,MEAC,87,51,True,,8,0,W 8,Assembly Hall,106,https://www.sports-reference.com/cbb/boxscores/2012-12-01-indiana.html
107,9,2012-12-08,2013,REG,Indiana,Central Connecticut State,NEC,100,69,True,,9,0,W 9,Assembly Hall,107,https://www.sports-reference.com/cbb/boxscores/2012-12-08-indiana.html
108,10,2012-12-15,2013,REG,Indiana,Butler,A-10,86,88,False,OT,9,1,L 1,,108,https://www.sports-reference.com/cbb/boxscores/2012-12-15-butler.html
109,11,2012-12-19,2013,REG,Indiana,Mount St. Mary's,NEC,93,54,True,,10,1,W 1,Assembly Hall,109,https://www.sports-reference.com/cbb/boxscores/2012-12-19-indiana.html
110,12,2012-12-21,2013,REG,Indiana,Florida Atlantic,Sun Belt,88,52,True,,11,1,W 2,Assembly Hall,110,https://www.sports-reference.com/cbb/boxscores/2012-12-21-indiana.html
111,13,2012-12-28,2013,REG,Indiana,Jacksonville,A-Sun,93,59,True,,12,1,W 3,Assembly Hall,111,https://www.sports-reference.com/cbb/boxscores/2012-12-28-indiana.html
112,14,2012-12-31,2013,REG,Indiana,Iowa,Big Ten,69,65,True,,13,1,W 4,Carver-Hawkeye Arena,112,https://www.sports-reference.com/cbb/boxscores/2012-12-31-iowa.html
113,15,2013-01-07,2013,REG,Indiana,Penn State,Big Ten,74,51,True,,14,1,W 5,Bryce Jordan Center,113,https://www.sports-reference.com/cbb/boxscores/2013-01-07-penn-state.html
114,16,2013-01-12,2013,REG,Indiana,Minnesota,Big Ten,88,81,True,,15,1,W 6,Assembly Hall,114,https://www.sports-reference.com/cbb/boxscores/2013-01-12-indiana.html
115,17,2013-01-15,2013,REG,Indiana,Wisconsin,Big Ten,59,64,False,,15,2,L 1,Assembly Hall,115,https://www.sports-reference.com/cbb/boxscores/2013-01-15-indiana.html
116,18,2013-01-20,2013,REG,Indiana,Northwestern,Big Ten,67,59,True,,16,2,W 1,Welsh-Ryan Arena,116,https://www.sports-reference.com/cbb/boxscores/2013-01-20-northwestern.html
117,19,2013-01-23,2013,REG,Indiana,Penn State,Big Ten,72,49,True,,17,2,W 2,Assembly Hall,117,https://www.sports-reference.com/cbb/boxscores/2013-01-23-indiana.html
118,20,2013-01-27,2013,REG,Indiana,Michigan State,Big Ten,75,70,True,,18,2,W 3,Assembly Hall,118,https://www.sports-reference.com/cbb/boxscores/2013-01-27-indiana.html
119,21,2013-01-30,2013,REG,Indiana,Purdue,Big Ten,97,60,True,,19,2,W 4,Mackey Arena,119,https://www.sports-reference.com/cbb/boxscores/2013-01-30-purdue.html
120,22,2013-02-02,2013,REG,Indiana,Michigan,Big Ten,81,73,True,,20,2,W 5,Assembly Hall,120,https://www.sports-reference.com/cbb/boxscores/2013-02-02-indiana.html
121,23,2013-02-07,2013,REG,Indiana,Illinois,Big Ten,72,74,False,,20,3,L 1,Assembly Hall,121,https://www.sports-reference.com/cbb/boxscores/2013-02-07-illinois.html
122,24,2013-02-10,2013,REG,Indiana,Ohio State,Big Ten,81,68,True,,21,3,W 1,Value City Arena,122,https://www.sports-reference.com/cbb/boxscores/2013-02-10-ohio-state.html
123,25,2013-02-13,2013,REG,Indiana,Nebraska,Big Ten,76,47,True,,22,3,W 2,Assembly Hall,123,https://www.sports-reference.com/cbb/boxscores/2013-02-13-indiana.html
124,26,2013-02-16,2013,REG,Indiana,Purdue,Big Ten,83,55,True,,23,3,W 3,Assembly Hall,124,https://www.sports-reference.com/cbb/boxscores/2013-02-16-indiana.html
125,27,2013-02-19,2013,REG,Indiana,Michigan State,Big Ten,72,68,True,,24,3,W 4,Breslin Events Center,125,https://www.sports-reference.com/cbb/boxscores/2013-02-19-michigan-state.html
126,28,2013-02-26,2013,REG,Indiana,Minnesota,Big Ten,73,77,False,,24,4,L 1,Williams Arena,126,https://www.sports-reference.com/cbb/boxscores/2013-02-26-minnesota.html
127,29,2013-03-02,2013,REG,Indiana,Iowa,Big Ten,73,60,True,,25,4,W 1,Assembly Hall,127,https://www.sports-reference.com/cbb/boxscores/2013-03-02-indiana.html
128,30,2013-03-05,2013,REG,Indiana,Ohio State,Big Ten,58,67,False,,25,5,L 1,Assembly Hall,128,https://www.sports-reference.com/cbb/boxscores/2013-03-05-indiana.html
129,31,2013-03-10,2013,REG,Indiana,Michigan,Big Ten,72,71,True,,26,5,W 1,Crisler Arena,129,https://www.sports-reference.com/cbb/boxscores/2013-03-10-michigan.html
130,32,2013-03-15,2013,CTOURN,Indiana,Illinois,Big Ten,80,64,True,,27,5,W 2,United Center,130,https://www.sports-reference.com/cbb/boxscores/2013-03-15-illinois.html
131,33,2013-03-16,2013,CTOURN,Indiana,Wisconsin,Big Ten,56,68,False,,27,6,L 1,United Center,131,https://www.sports-reference.com/cbb/boxscores/2013-03-16-indiana.html
132,34,2013-03-22,2013,NCAA,Indiana,James Madison,CAA,83,62,True,,28,6,W 1,University of Dayton Arena,132,https://www.sports-reference.com/cbb/boxscores/2013-03-22-indiana.html
133,35,2013-03-24,2013,NCAA,Indiana,Temple,A-10,58,52,True,,29,6,W 2,University of Dayton Arena,133,https://www.sports-reference.com/cbb/boxscores/2013-03-24-indiana.html
134,36,2013-03-28,2013,NCAA,Indiana,Syracuse,Big East,50,61,False,,29,7,L 1,Verizon Center,134,https://www.sports-reference.com/cbb/boxscores/2013-03-28-indiana.html
135,1,2013-11-08,2014,REG,Indiana,Chicago State,WAC,100,72,True,,1,0,W 1,Assembly Hall,135,https://www.sports-reference.com/cbb/boxscores/2013-11-08-indiana.html
136,2,2013-11-12,2014,REG,Indiana,Long Island University,NEC,73,72,True,,2,0,W 2,Assembly Hall,136,https://www.sports-reference.com/cbb/boxscores/2013-11-12-indiana.html
137,3,2013-11-15,2014,REG,Indiana,Samford,Southern,105,59,True,,3,0,W 3,Assembly Hall,137,https://www.sports-reference.com/cbb/boxscores/2013-11-15-indiana.html
138,4,2013-11-17,2014,REG,Indiana,Stony Brook,AEC,90,74,True,,4,0,W 4,Assembly Hall,138,https://www.sports-reference.com/cbb/boxscores/2013-11-17-indiana.html
139,5,2013-11-21,2014,REG,Indiana,Washington,Pac-12,102,84,True,,5,0,W 5,,139,https://www.sports-reference.com/cbb/boxscores/2013-11-21-indiana.html
140,6,2013-11-22,2014,REG,Indiana,Connecticut,AAC,58,59,False,,5,1,L 1,,140,https://www.sports-reference.com/cbb/boxscores/2013-11-22-connecticut.html
141,7,2013-11-26,2014,REG,Indiana,Evansville,MVC,77,46,True,,6,1,W 1,Assembly Hall,141,https://www.sports-reference.com/cbb/boxscores/2013-11-26-indiana.html
142,8,2013-12-03,2014,REG,Indiana,Syracuse,ACC,52,69,False,,6,2,L 1,Carrier Dome,142,https://www.sports-reference.com/cbb/boxscores/2013-12-03-syracuse.html
143,9,2013-12-07,2014,REG,Indiana,North Florida,A-Sun,89,68,True,,7,2,W 1,Assembly Hall,143,https://www.sports-reference.com/cbb/boxscores/2013-12-07-indiana.html
144,10,2013-12-10,2014,REG,Indiana,Oakland,Horizon,81,54,True,,8,2,W 2,Assembly Hall,144,https://www.sports-reference.com/cbb/boxscores/2013-12-10-indiana.html
145,11,2013-12-14,2014,REG,Indiana,Notre Dame,ACC,72,79,False,,8,3,L 1,Conseco Fieldhouse,145,https://www.sports-reference.com/cbb/boxscores/2013-12-14-indiana.html
146,12,2013-12-20,2014,REG,Indiana,Nicholls State,Southland,79,66,True,,9,3,W 1,Assembly Hall,146,https://www.sports-reference.com/cbb/boxscores/2013-12-20-indiana.html
147,13,2013-12-22,2014,REG,Indiana,Kennesaw State,A-Sun,90,66,True,,10,3,W 2,Assembly Hall,147,https://www.sports-reference.com/cbb/boxscores/2013-12-22-indiana.html
